tip_label	accession	taxid	organism	group	role	gene	core_from	core_to	full_len	core_len
G8ZST6_Torulaspora	G8ZST6	4950	Torulaspora delbrueckii (Yeast) (Candida colliculosa)	ascomycota	ingroup	TDEL0D00960	329	535	949	207
H2AZM3_Kazachstania	H2AZM3	1071382	Kazachstania africana (strain ATCC 22294 / BCRC 22015 / CBS 2517 / CECT 1963 / NBRC 1671 / NRRL Y-8276) (Yeast) (Kluyveromyces africanus)	ascomycota	ingroup	KAFR0I00420	221	427	823	207
I2H566_Henningerozyma	I2H566	1071380	Henningerozyma blattae (strain ATCC 34711 / CBS 6284 / DSM 70876 / NBRC 10599 / NRRL Y-10934 / UCD 77-7) (Yeast) (Tetrapisispora blattae)	ascomycota	ingroup	TBLA0E04660	245	450	854	206
J7S6X7_Huiozyma	J7S6X7	1071383	Huiozyma naganishii (strain ATCC MYA-139 / BCRC 22969 / CBS 8797 / KCTC 17520 / NBRC 10181 / NCYC 3082 / Yp74L-3) (Yeast) (Kazachstania naganishii)	ascomycota	ingroup	KNAG0E03960	254	460	853	207
M7P7M8_Pneumocystis	M7P7M8	1069680	Pneumocystis murina (strain B123) (Mouse pneumocystis pneumonia agent) (Pneumocystis carinii f. sp. muris)	ascomycota	ingroup	PIF1	301	507	801	207
P07271_Saccharomyces	P07271	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ascomycota	ingroup	PIF1	236	442	859	207
P38766_Saccharomyces	P38766	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ascomycota	ingroup	RRM3	231	436	723	206
Q59RQ0_Candida	Q59RQ0	237561	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	ascomycota	ingroup	PIF1	368	581	906	214
Q6BQK7_Debaryomyces	Q6BQK7	284592	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	ascomycota	ingroup	PIF1	271	489	832	219
Q6FKI9_Nakaseomyces	Q6FKI9	284593	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus)	ascomycota	ingroup	PIF1	258	464	841	207
Q9UUA2_Schizosaccharomyces	Q9UUA2	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	ascomycota	ingroup	pfh1	309	516	805	208
S9PVT1_Schizosaccharomyces	S9PVT1	483514	Schizosaccharomyces octosporus (strain yFS286) (Fission yeast) (Octosporomyces octosporus)	ascomycota	ingroup	PIF1	296	503	788	208
S9X0K1_Schizosaccharomyces	S9X0K1	653667	Schizosaccharomyces cryophilus (strain OY26 / ATCC MYA-4695 / CBS 11777 / NBRC 106824 / NRRL Y48691) (Fission yeast)	ascomycota	ingroup	PIF1	296	503	788	208
W1QEW7_Ogataea	W1QEW7	871575	Ogataea parapolymorpha (strain ATCC 26012 / BCRC 20466 / JCM 22074 / NRRL Y-7560 / DL-1) (Yeast) (Hansenula polymorpha)	ascomycota	ingroup	PIF1	253	458	826	206
W6MNR6_Kuraishia	W6MNR6	1382522	Kuraishia capsulata CBS 1993	ascomycota	ingroup	PIF1	215	419	765	205
A0A066XBE3_Colletotrichum	A0A066XBE3	1173701	Colletotrichum sublineola (Sorghum anthracnose fungus)	ascomycota	ingroup	PIF1	319	528	844	210
A0A098E1Q1_Fusarium	A0A098E1Q1	229533	Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum)	ascomycota	ingroup	PIF1	358	567	872	210
A0A0A8L254_Kluyveromyces	A0A0A8L254	1427455	Kluyveromyces dobzhanskii CBS 2104	ascomycota	ingroup	PIF1	207	413	823	207
A0A0A8L495_Kluyveromyces	A0A0A8L495	1427455	Kluyveromyces dobzhanskii CBS 2104	ascomycota	ingroup	RRM3	204	411	711	208
A0A0D2HCP1_Cladophialophora	A0A0D2HCP1	1442370	Cladophialophora bantiana (strain ATCC 10958 / CBS 173.52 / CDC B-1940 / NIH 8579) (Xylohypha bantiana)	ascomycota	ingroup	PIF1	257	464	771	208
A0A0D2IYR0_Rhinocladiella	A0A0D2IYR0	1442369	Rhinocladiella mackenziei CBS 650.93	ascomycota	ingroup	PIF1	247	454	766	208
A0A0E9NJD1_Saitoella	A0A0E9NJD1	698492	Saitoella complicata (strain BCRC 22490 / CBS 7301 / JCM 7358 / NBRC 10748 / NRRL Y-17804)	ascomycota	ingroup	PIF1	424	630	951	207
A0A0F8UK25_Aspergillus	A0A0F8UK25	138278	Aspergillus ochraceoroseus	ascomycota	ingroup	PIF1	245	452	753	208
A0A0G2G6N1_Phaeomoniella	A0A0G2G6N1	158046	Phaeomoniella chlamydospora (Phaeoacremonium chlamydosporum)	ascomycota	ingroup	PIF1	235	443	754	209
A0A0G4N7A9_Verticillium	A0A0G4N7A9	100787	Verticillium longisporum (Verticillium dahliae var. longisporum)	ascomycota	ingroup	PIF1	337	547	876	211
A0A0G4PIW6_Penicillium	A0A0G4PIW6	1429867	Penicillium camemberti (strain FM 013)	ascomycota	ingroup	PIF1	268	476	761	209
A0A0X8HVB8_Eremothecium	A0A0X8HVB8	45286	Eremothecium sinecaudum	ascomycota	ingroup	PIF1	230	436	834	207
A0A135UEW1_Colletotrichum	A0A135UEW1	1209931	Colletotrichum salicis	ascomycota	ingroup	PIF1	307	516	835	210
A0A162ZNR2_Ascochyta	A0A162ZNR2	5454	Didymella rabiei (Chickpea ascochyta blight fungus) (Mycosphaerella rabiei)	ascomycota	ingroup	pif1	308	514	802	207
A0A166QWJ6_Colletotrichum	A0A166QWJ6	1573173	Colletotrichum incanum (Soybean anthracnose fungus)	ascomycota	ingroup	PIF1	364	573	889	210
A0A167DT29_Sugiyamaella	A0A167DT29	796027	Sugiyamaella lignohabitans	ascomycota	ingroup	RRM3	218	418	706	201
A0A178CX55_Fonsecaea	A0A178CX55	856822	Fonsecaea nubica	ascomycota	ingroup	PIF1	250	457	764	208
A0A178FD44_Trichophyton	A0A178FD44	34388	Trichophyton violaceum	ascomycota	ingroup	PIF1	256	462	760	207
A0A1B2JBB9_Komagataella	A0A1B2JBB9	4922	Komagataella pastoris (Yeast) (Pichia pastoris)	ascomycota	ingroup	PIF1	255	459	820	205
A0A1E3B484_Aspergillus	A0A1E3B484	573508	Aspergillus cristatus (Chinese Fuzhuan brick tea-fermentation fungus) (Eurotium cristatum)	ascomycota	ingroup	PIF1	223	430	720	208
A0A1F8AAX5_Aspergillus	A0A1F8AAX5	109264	Aspergillus bombycis	ascomycota	ingroup	PIF1	234	441	736	208
A0A1G4B3T3_Colletotrichum	A0A1G4B3T3	1209926	Colletotrichum orchidophilum	ascomycota	ingroup	PIF1	352	561	882	210
A0A1G4J9Z3_Lachancea	A0A1G4J9Z3	1230905	Lachancea mirantina	ascomycota	ingroup	RRM3	198	405	696	208
A0A1G4M6R4_Lachancea	A0A1G4M6R4	4955	Lachancea fermentati (Zygosaccharomyces fermentati)	ascomycota	ingroup	RRM3	203	410	701	208
A0A1J9QLP1_Diplodia	A0A1J9QLP1	236234	Diplodia corticola	ascomycota	ingroup	PIF1	169	375	623	207
A0A1L7WWW9_Phialocephala	A0A1L7WWW9	576137	Phialocephala subalpina	ascomycota	ingroup	PIF1	400	610	917	211
A0A1V6U152_Penicillium	A0A1V6U152	303698	Penicillium steckii	ascomycota	ingroup	PIF1	274	481	771	208
A0A1W5D893_Lasallia	A0A1W5D893	136370	Lasallia pustulata	ascomycota	ingroup	PIF1	349	555	865	207
A0A2A9PT09_Ophiocordyceps	A0A2A9PT09	268505	Ophiocordyceps unilateralis (Zombie-ant fungus) (Torrubia unilateralis)	ascomycota	ingroup	PIF1	323	532	855	210
A0A2C5WV42_Ceratocystis	A0A2C5WV42	1035309	Ceratocystis fimbriata CBS 114723	ascomycota	ingroup	pif1	322	530	804	209
A0A2C5Z163_Ophiocordyceps	A0A2C5Z163	2004952	Ophiocordyceps camponoti-rufipedis	ascomycota	ingroup	PIF1	279	488	791	210
A0A2G7FQB8_Aspergillus	A0A2G7FQB8	656916	Aspergillus arachidicola	ascomycota	ingroup	PIF1	234	442	736	209
A0A2S4L8F3_Tolypocladium	A0A2S4L8F3	94208	Tolypocladium paradoxum	ascomycota	ingroup	PIF1	299	508	820	210
A0A2S4Q1N6_Erysiphe	A0A2S4Q1N6	225359	Erysiphe pulchra	ascomycota	ingroup	PIF1	384	594	868	211
A0A2T0FEC6_Wickerhamiella	A0A2T0FEC6	45607	Wickerhamiella sorbophila	ascomycota	ingroup	PIF1	112	312	589	201
A0A2U9RAS2_Pichia	A0A2U9RAS2	4909	Pichia kudriavzevii (Yeast) (Issatchenkia orientalis)	ascomycota	ingroup	PIF1	183	386	676	204
A0A370TV91_Venustampulla	A0A370TV91	2656787	Venustampulla echinocandica	ascomycota	ingroup	PIF1	359	569	872	211
A0A3D8QMU0_Aspergillus	A0A3D8QMU0	1810919	Aspergillus mulundensis	ascomycota	ingroup	PIF1	241	448	750	208
A0A401KJ13_Aspergillus	A0A401KJ13	105351	Aspergillus awamori (Black koji mold)	ascomycota	ingroup	PIF1	240	447	754	208
A0A420Y4N6_Coniochaeta	A0A420Y4N6	177199	Coniochaeta pulveracea	ascomycota	ingroup	PIF1	366	576	869	211
A0A423X8J6_Cytospora	A0A423X8J6	448051	Cytospora schulzeri	ascomycota	ingroup	PIF1	244	452	755	209
A0A4P6XHN0_Metschnikowia	A0A4P6XHN0	2163413	Metschnikowia aff. pulcherrima	ascomycota	ingroup	MPUL0A14290	186	391	686	206
A0A4Q4SNS4_Alternaria	A0A4Q4SNS4	156630	Alternaria arborescens	ascomycota	ingroup	PIF1	294	501	782	208
A0A4Q4SW76_Monosporascus	A0A4Q4SW76	155417	Monosporascus ibericus	ascomycota	ingroup	PIF1	295	504	810	210
A0A4R8TC14_Colletotrichum	A0A4R8TC14	1347389	Colletotrichum sidae	ascomycota	ingroup	pif1	316	525	840	210
A0A4T0X234_Pichia	A0A4T0X234	52247	Pichia inconspicua	ascomycota	ingroup	PIF1	172	379	670	208
A0A4Z1I1P6_Botryotinia	A0A4Z1I1P6	278944	Botryotinia narcissicola	ascomycota	ingroup	PIF1	384	594	910	211
A0A5E8BJL0_Magnusiomyces	A0A5E8BJL0	2606893	Magnusiomyces paraingens	ascomycota	ingroup	PIF1	142	355	755	214
A0A5M3Z9B9_Aspergillus	A0A5M3Z9B9	33178	Aspergillus terreus	ascomycota	ingroup	PIF1	246	454	753	209
A0A6H0XK98_Peltaster	A0A6H0XK98	286661	Peltaster fructicola	ascomycota	ingroup	PIF1	299	506	803	208
A0A7D8YNF5_Lachnellula	A0A7D8YNF5	1316786	Lachnellula cervina	ascomycota	ingroup	pif1_0	397	607	920	211
A0A8E5HVQ8_Ustilaginoidea	A0A8E5HVQ8	1159556	Ustilaginoidea virens (Rice false smut fungus) (Villosiclava virens)	ascomycota	ingroup	PIF1	346	555	858	210
A0A8H3WE31_Colletotrichum	A0A8H3WE31	702518	Colletotrichum asianum	ascomycota	ingroup	PIF1	329	538	853	210
A0A8H5T131_Fusarium	A0A8H5T131	48507	Fusarium denticulatum	ascomycota	ingroup	PIF1	306	515	820	210
A0A8J2T8D0_Zygosaccharomyces	A0A8J2T8D0	1333698	Zygosaccharomyces bailii (strain CLIB 213 / ATCC 58445 / CBS 680 / BCRC 21525 / NBRC 1098 / NCYC 1416 / NRRL Y-2227)	ascomycota	ingroup	RRM3	154	349	642	196
A0A8J8WMJ2_Penicillium	A0A8J8WMJ2	2839758	Penicillium ucsense	ascomycota	ingroup	PIF1	236	444	727	209
A0A8K0LFH0_Elsinoe	A0A8K0LFH0	2601811	Elsinoe batatas	ascomycota	ingroup	PIF1	411	618	916	208
A0A8T9C083_Lachnellula	A0A8T9C083	602035	Lachnellula suecica	ascomycota	ingroup	pif1	365	575	889	211
A0A9N9L4M2_Hymenoscyphus	A0A9N9L4M2	746836	Hymenoscyphus fraxineus	ascomycota	ingroup	PIF1	396	606	914	211
A0A9P5AP51_Fusarium	A0A9P5AP51	44412	Fusarium beomiforme	ascomycota	ingroup	PIF1	304	513	818	210
A0A9P5F6D8_Colletotrichum	A0A9P5F6D8	690259	Colletotrichum siamense (Anthracnose fungus)	ascomycota	ingroup	pif1-2	329	538	853	210
A0A9P5IFU8_Botrytis	A0A9P5IFU8	139641	Botrytis byssoidea	ascomycota	ingroup	PIF1	384	594	910	211
A0A9P7HAM0_Fusarium	A0A9P7HAM0	40199	Fusarium avenaceum	ascomycota	ingroup	PIF1	305	514	819	210
A0A9P8NYE8_Ogataea	A0A9P8NYE8	1378263	Ogataea philodendri	ascomycota	ingroup	PIF1	261	465	834	205
A0A9P8TS07_Trichoderma	A0A9P8TS07	654480	Trichoderma cornu-damae	ascomycota	ingroup	PIF1	349	558	855	210
A0A9Q8LAV6_Fulvia	A0A9Q8LAV6	5499	Fulvia fulva (Tomato leaf mold) (Passalora fulva)	ascomycota	ingroup	PIF1	407	613	911	207
A0A9Q8QLM5_Purpureocillium	A0A9Q8QLM5	2060973	Purpureocillium takamizusanense	ascomycota	ingroup	PIF1	348	557	868	210
A0A9W9HYZ6_Penicillium	A0A9W9HYZ6	189055	Penicillium canariense	ascomycota	ingroup	PIF1	236	444	730	209
A0A9W9RW94_Penicillium	A0A9W9RW94	5074	Penicillium brevicompactum	ascomycota	ingroup	PIF1	259	467	754	209
A0AAD9T215_Diplocarpon	A0AAD9T215	946125	Diplocarpon rosae	ascomycota	ingroup	PIF1	406	616	932	211
A0AAI9SXC1_Candida	A0AAI9SXC1	497107	Candida oxycetoniae	ascomycota	ingroup	PIF1	148	353	638	206
Q5AXT5_Aspergillus	Q5AXT5	227321	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	ascomycota	ingroup	pif1	239	446	745	208
A0A010SLY8_Colletotrichum	A0A010SLY8	1445577	Colletotrichum fioriniae PJ7	ascomycota	ingroup	PIF1	393	602	921	210
A0A0A2KKZ8_Penicillium	A0A0A2KKZ8	40296	Penicillium italicum (Blue mold)	ascomycota	ingroup	PIF1	227	435	720	209
A0A0C7N9H1_Lachancea	A0A0C7N9H1	1245769	Lachancea lanzarotensis	ascomycota	ingroup	RRM3	173	379	680	207
A0A0D2AM31_Verruconis	A0A0D2AM31	253628	Verruconis gallopava	ascomycota	ingroup	PIF1	642	847	1165	206
A0A0D2CU01_Cladophialophora	A0A0D2CU01	569365	Cladophialophora immunda	ascomycota	ingroup	PIF1	277	484	792	208
A0A0F4GSW0_Zymoseptoria	A0A0F4GSW0	1047168	Zymoseptoria brevis	ascomycota	ingroup	PIF1	380	587	886	208
A0A0F7TPW7_Penicillium	A0A0F7TPW7	104259	Penicillium brasilianum	ascomycota	ingroup	PIF1	236	444	723	209
A0A0F8V674_Aspergillus	A0A0F8V674	308745	Aspergillus rambellii	ascomycota	ingroup	PIF1	291	498	799	208
A0A0J9X617_Geotrichum	A0A0J9X617	1173061	Geotrichum candidum (Oospora lactis) (Dipodascus geotrichum)	ascomycota	ingroup	PIF1	239	447	768	209
A0A0J9XD28_Geotrichum	A0A0J9XD28	1173061	Geotrichum candidum (Oospora lactis) (Dipodascus geotrichum)	ascomycota	ingroup	PIF1	307	541	997	235
A0A0L1J6G6_Aspergillus	A0A0L1J6G6	1509407	Aspergillus nomiae NRRL (strain ATCC 15546 / NRRL 13137 / CBS 260.88 / M93)	ascomycota	ingroup	PIF1	236	443	738	208
A0A0P1KUZ5_Lachancea	A0A0P1KUZ5	1654605	Lachancea quebecensis	ascomycota	ingroup	RRM3	197	406	695	210
A0A0U1LMZ8_Talaromyces	A0A0U1LMZ8	28573	Talaromyces islandicus (Penicillium islandicum)	ascomycota	ingroup	PIF1	244	452	745	209
A0A0U5FW00_Aspergillus	A0A0U5FW00	454130	Aspergillus calidoustus	ascomycota	ingroup	PIF1	289	497	803	209
A0A179UY81_Blastomyces	A0A179UY81	559298	Blastomyces gilchristii (strain SLH14081) (Blastomyces dermatitidis)	ascomycota	ingroup	PIF1	257	463	798	207
A0A194VFA7_Cytospora	A0A194VFA7	578113	Cytospora mali (Apple Valsa canker fungus) (Valsa mali)	ascomycota	ingroup	PIF1	311	519	818	209
A0A1E1KHD1_Rhynchosporium	A0A1E1KHD1	2792576	Rhynchosporium graminicola	ascomycota	ingroup	PIF1	366	575	899	210
A0A1E5R2E4_Hanseniaspora	A0A1E5R2E4	56408	Hanseniaspora osmophila	ascomycota	ingroup	PIF1	274	479	781	206
A0A1E5RH49_Hanseniaspora	A0A1E5RH49	56408	Hanseniaspora osmophila	ascomycota	ingroup	PIF1	352	567	931	216
A0A1E5RYU5_Hanseniaspora	A0A1E5RYU5	29833	Hanseniaspora uvarum (Yeast) (Kloeckera apiculata)	ascomycota	ingroup	PIF1	266	469	762	204
A0A1G4JAR2_Lachancea	A0A1G4JAR2	1266667	Lachancea meyersii CBS 8951	ascomycota	ingroup	RRM3	191	400	689	210
A0A1G4JJ13_Lachancea	A0A1G4JJ13	1266667	Lachancea meyersii CBS 8951	ascomycota	ingroup	PIF1	283	489	883	207
A0A1G4KK60_Lachancea	A0A1G4KK60	1266666	Lachancea nothofagi CBS 11611	ascomycota	ingroup	PIF1	276	482	876	207
A0A1G4M6E1_Lachancea	A0A1G4M6E1	4955	Lachancea fermentati (Zygosaccharomyces fermentati)	ascomycota	ingroup	PIF1	344	550	950	207
A0A1J9QG29_Blastomyces	A0A1J9QG29	1658174	Blastomyces percursus	ascomycota	ingroup	PIF1	258	464	795	207
A0A1L0D0Q5_Hanseniaspora	A0A1L0D0Q5	56406	Hanseniaspora guilliermondii	ascomycota	ingroup	PIF1	263	469	759	207
A0A1L7VNC0_Fusarium	A0A1L7VNC0	1227346	Fusarium proliferatum (strain ET1) (Orchid endophyte fungus)	ascomycota	ingroup	PIF1	307	516	821	210
A0A1X7R554_Maudiozyma	A0A1X7R554	1789683	Maudiozyma saulgeensis	ascomycota	ingroup	RRM3	266	475	762	210
A0A218YVE5_Diplocarpon	A0A218YVE5	2795749	Diplocarpon coronariae	ascomycota	ingroup	PIF1	355	565	880	211
A0A232LWR6_Elaphomyces	A0A232LWR6	519963	Elaphomyces granulatus	ascomycota	ingroup	PIF1	265	473	781	209
A0A292Q3K7_Tuber	A0A292Q3K7	59557	Tuber aestivum (summer truffle)	ascomycota	ingroup	PIF1	365	593	909	229
A0A2B7WVK7_Helicocarpus	A0A2B7WVK7	1447875	Helicocarpus griseus UAMH5409	ascomycota	ingroup	PIF1	241	448	752	208
A0A2D3UXI5_Ramularia	A0A2D3UXI5	112498	Ramularia collo-cygni	ascomycota	ingroup	PIF1	328	535	834	208
A0A2K1QRC5_Sphaceloma	A0A2K1QRC5	2082308	Sphaceloma murrayae	ascomycota	ingroup	PIF1	341	548	847	208
A0A2S6CBW7_Cercospora	A0A2S6CBW7	357750	Cercospora berteroae	ascomycota	ingroup	PIF1	417	623	928	207
A0A2V1A9H7_Candidozyma	A0A2V1A9H7	1231522	Candidozyma duobushaemuli	ascomycota	ingroup	PIF1	209	424	791	216
A0A2V1ALF0_Candidozyma	A0A2V1ALF0	45357	Candidozyma haemuli	ascomycota	ingroup	PIF1	232	447	811	216
A0A2W1ERC3_Pyrenophora	A0A2W1ERC3	45151	Pyrenophora tritici-repentis	ascomycota	ingroup	PIF1	298	503	788	206
A0A364L1Q7_Talaromyces	A0A364L1Q7	1196081	Talaromyces amestolkiae	ascomycota	ingroup	PIF1	292	500	800	209
A0A367L4D8_Ophiocordyceps	A0A367L4D8	1330021	Ophiocordyceps polyrhachis-furcata BCC 54312	ascomycota	ingroup	PIF1	327	536	1521	210
A0A367YDY7_Candida	A0A367YDY7	5486	Candida viswanathii	ascomycota	ingroup	PIF1_1	254	463	749	210
A0A384JQ16_Botrytis	A0A384JQ16	332648	Botrytis cinerea (strain B05.10) (Noble rot fungus) (Botryotinia fuckeliana)	ascomycota	ingroup	PIF1	386	596	914	211
A0A423WMC8_Cytospora	A0A423WMC8	448051	Cytospora schulzeri	ascomycota	ingroup	PIF1	108	315	599	208
A0A448YGA8_Brettanomyces	A0A448YGA8	13370	Brettanomyces naardenensis (Yeast)	ascomycota	ingroup	PIF1	284	488	866	205
A0A448YPH1_Brettanomyces	A0A448YPH1	13370	Brettanomyces naardenensis (Yeast)	ascomycota	ingroup	PIF1	140	345	652	206
A0A4Y8D3B0_Botryotinia	A0A4Y8D3B0	38488	Botryotinia calthae	ascomycota	ingroup	PIF1	384	594	909	211
A0A4Z0Z973_Xylaria	A0A4Z0Z973	37992	Xylaria hypoxylon	ascomycota	ingroup	PIF1	327	535	839	209
A0A507AHL1_Thyridium	A0A507AHL1	1093900	Thyridium curvatum	ascomycota	ingroup	PIF1	330	539	857	210
A0A5Q4C7C0_Colletotrichum	A0A5Q4C7C0	2078593	Colletotrichum shisoi	ascomycota	ingroup	Pif1-1	317	526	838	210
A0A6A6V6U0_Sporormia	A0A6A6V6U0	1340428	Sporormia fimetaria CBS 119925	ascomycota	ingroup	PIF1	338	543	851	206
A0A6V8H3K1_Talaromyces	A0A6V8H3K1	128442	Talaromyces pinophilus (Penicillium pinophilum)	ascomycota	ingroup	PIF1	251	459	743	209
A0A7H8QY08_Talaromyces	A0A7H8QY08	121627	Talaromyces rugulosus (Penicillium rugulosum)	ascomycota	ingroup	PIF1	286	494	793	209
A0A8G0PM48_Trichoderma	A0A8G0PM48	1491479	Trichoderma simmonsii	ascomycota	ingroup	PIF1	335	544	840	210
A0A8H2ZKI7_Maudiozyma	A0A8H2ZKI7	61262	Maudiozyma barnettii	ascomycota	ingroup	PIF1	287	493	877	207
A0A8H4ISW3_Botryosphaeria	A0A8H4ISW3	55169	Botryosphaeria dothidea	ascomycota	ingroup	PIF1	349	555	861	207
A0A8H4KSP0_Fusarium	A0A8H4KSP0	2364996	Fusarium austroafricanum	ascomycota	ingroup	PIF1	309	517	822	209
A0A8H4L6X0_Fusarium	A0A8H4L6X0	1237068	Fusarium albosuccineum	ascomycota	ingroup	PIF1	298	507	806	210
A0A8H4XL08_Fusarium	A0A8H4XL08	1053134	Fusarium zealandicum	ascomycota	ingroup	PIF1	342	551	1692	210
A0A8H5VWV3_Fusarium	A0A8H5VWV3	1567544	Fusarium tjaetaba	ascomycota	ingroup	PIF1	306	515	820	210
A0A8H5XTU0_Fusarium	A0A8H5XTU0	78864	Fusarium globosum	ascomycota	ingroup	PIF1	307	516	821	210
A0A8H6U8X2_Colletotrichum	A0A8H6U8X2	2175873	Colletotrichum musicola	ascomycota	ingroup	PIF1	363	572	883	210
A0A8H6UTP6_Aspergillus	A0A8H6UTP6	1287682	Aspergillus felis	ascomycota	ingroup	PIF1	238	446	744	209
A0A8H6VE95_Pseudocercospora	A0A8H6VE95	685502	Pseudocercospora fuligena	ascomycota	ingroup	PIF1	423	630	942	208
A0A9N8P9K6_Aureobasidium	A0A9N8P9K6	2773714	Aureobasidium mustum	ascomycota	ingroup	PIF1	401	608	883	208
A0A9N9LYP1_Hymenoscyphus	A0A9N9LYP1	595503	Hymenoscyphus albidus	ascomycota	ingroup	PIF1	396	606	914	211
A0A9N9Y4Q8_Clonostachys	A0A9N9Y4Q8	160290	Clonostachys byssicola	ascomycota	ingroup	PIF1	297	506	799	210
A0A9P0QRK9_Kurtzmaniella	A0A9P0QRK9	45579	[Candida] railenensis	ascomycota	ingroup	PIF1	246	464	821	219
A0A9P4YU51_Geosmithia	A0A9P4YU51	1094350	Geosmithia morbida	ascomycota	ingroup	PIF1	359	568	846	210
A0A9P8M8W8_Metarhizium	A0A9P8M8W8	2596975	Metarhizium humberi	ascomycota	ingroup	PIF1	299	507	815	209
A0A9P8SF62_Hirsutella	A0A9P8SF62	111463	Hirsutella rhossiliensis	ascomycota	ingroup	PIF1	271	481	786	211
A0A9P9XSS9_Colletotrichum	A0A9P9XSS9	1671311	Colletotrichum abscissum	ascomycota	ingroup	PIF1	306	515	834	210
A0A9W7DE56_Ambrosiozyma	A0A9W7DE56	43982	Ambrosiozyma monospora (Yeast) (Endomycopsis monosporus)	ascomycota	ingroup	PIF1	265	469	890	205
A0A9W7SU85_Teratosphaeria	A0A9W7SU85	418781	Teratosphaeria destructans	ascomycota	ingroup	PIF1	334	541	844	208
A0A9W8N7W2_Xylaria	A0A9W8N7W2	114810	Xylaria arbuscula	ascomycota	ingroup	PIF1	224	432	742	209
A0A9W9FVK9_Penicillium	A0A9W9FVK9	116970	Penicillium angulare	ascomycota	ingroup	PIF1	230	437	732	208
A0A9W9KB48_Penicillium	A0A9W9KB48	1131581	Penicillium argentinense	ascomycota	ingroup	PIF1	236	444	733	209
A0A9W9TVT2_Penicillium	A0A9W9TVT2	5077	Penicillium citrinum	ascomycota	ingroup	PIF1	208	414	704	207
A0A9W9WZB3_Penicillium	A0A9W9WZB3	1303715	Penicillium desertorum	ascomycota	ingroup	PIF1	270	478	763	209
