batch,order,job_name,accession,construct,range,full_len,model_len,n_subst,group,organism
1,18,pif1_A0ABQ8ESF1,A0ABQ8ESF1,full,1-778,778,778,0,chytridiomycota,Batrachochytrium salamandrivorans
1,19,pif1_A0A0B7NVF9,A0A0B7NVF9,full,1-635,635,635,0,mucoromycota,Parasitella parasitica
1,20,pif1_A0A084GDF4,A0A084GDF4,full,1-1901,1901,1901,0,ascomycota,Pseudallescheria apiosperma (Scedosporium apiospermum)
1,21,pif1_A0A074S981,A0A074S981,full,1-634,634,634,0,basidiomycota,Rhizoctonia solani 123E
1,22,pif1_A0A0C9MZV3,A0A0C9MZV3,full,1-755,755,755,0,mucoromycota,Mucor ambiguus
1,23,pif1_A0A084QU30,A0A084QU30,full,1-806,806,806,0,ascomycota,Stachybotrys chlorohalonatus (strain IBT 40285)
1,24,pif1_A0A081CCF7,A0A081CCF7,full,1-793,793,793,0,basidiomycota,Moesziomyces antarcticus (Yeast) (Pseudozyma antarctica)
1,25,pif1_A0A168NJR9,A0A168NJR9,full,1-666,666,666,0,mucoromycota,Absidia glauca (Pin mould)
1,26,pif1_A0A086SVX6,A0A086SVX6,full,1-792,792,792,0,ascomycota,Hapsidospora chrysogenum (strain ATCC 11550 / CBS 779.69 / DSM 880 / IAM 14645 / JCM 23072 / IMI 49137) (Acremonium chrysogenum)
1,27,pif1_A0A095CAP8,A0A095CAP8,full,1-669,669,669,0,basidiomycota,Cryptococcus deuterogattii (strain R265) (Cryptococcus gattii VGII (strain R265))
1,28,pif1_A0A1C7NKC8,A0A1C7NKC8,full,1-732,732,732,0,mucoromycota,Choanephora cucurbitarum
1,29,pif1_A0A090CWN8,A0A090CWN8,full,1-835,835,835,0,ascomycota,Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383) (Pleurage anserina)
1,30,pif1_A0A0B7FZH9,A0A0B7FZH9,full,1-623,623,623,0,basidiomycota,Thanatephorus cucumeris (strain AG1-IB / isolate 7/3/14) (Lettuce bottom rot fungus) (Rhizoctonia solani)
1,31,pif1_A0A1C7NS85,A0A1C7NS85,full,1-520,520,520,0,mucoromycota,Choanephora cucurbitarum
1,32,pif1_A0A098E1Q1,A0A098E1Q1,full,1-872,872,872,0,ascomycota,Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum)
1,33,pif1_A0A0B7G341,A0A0B7G341,full,1-640,640,640,0,basidiomycota,Thanatephorus cucumeris (strain AG1-IB / isolate 7/3/14) (Lettuce bottom rot fungus) (Rhizoctonia solani)
1,34,pif1_A0A261Y8L7,A0A261Y8L7,full,1-1204,1204,1204,0,mucoromycota,Bifiguratus adelaidae
1,35,pif1_A0A0A1TS53,A0A0A1TS53,full,1-844,844,844,0,ascomycota,[Torrubiella] hemipterigena
1,36,pif1_A0A0B7G372,A0A0B7G372,full,1-809,809,809,0,basidiomycota,Thanatephorus cucumeris (strain AG1-IB / isolate 7/3/14) (Lettuce bottom rot fungus) (Rhizoctonia solani)
1,37,pif1_A0A2Z6Q637,A0A2Z6Q637,full,1-648,648,648,0,mucoromycota,Rhizophagus clarus
1,38,pif1_A0A0A2KKZ8,A0A0A2KKZ8,full,1-720,720,720,0,ascomycota,Penicillium italicum (Blue mold)
1,39,pif1_A0A0C3AWH9,A0A0C3AWH9,full,1-566,566,566,0,basidiomycota,Serendipita vermifera MAFF 305830
1,40,pif1_A0A8H4A8B1,A0A8H4A8B1,full,1-643,643,643,0,mucoromycota,Gigaspora margarita
1,41,pif1_A0A0A2KQC3,A0A0A2KQC3,full,1-720,720,720,0,ascomycota,Penicillium expansum (Blue mold rot fungus)
1,42,pif1_A0A0D0VFI3,A0A0D0VFI3,full,1-669,669,669,0,basidiomycota,Cryptococcus deuterogattii Ram5
1,43,pif1_A0A8H7Q1B8,A0A8H7Q1B8,full,1-545,545,545,0,mucoromycota,Mortierella isabellina (Filamentous fungus) (Umbelopsis isabellina)
1,44,pif1_A0A0A8L254,A0A0A8L254,full,1-823,823,823,0,ascomycota,Kluyveromyces dobzhanskii CBS 2104
1,45,pif1_A0A0D1DZD7,A0A0D1DZD7,full,1-706,706,706,0,basidiomycota,Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis)
1,46,pif1_A0A8H7Q426,A0A8H7Q426,full,1-717,717,717,0,mucoromycota,Umbelopsis vinacea
1,47,pif1_A0A0A8L495,A0A0A8L495,full,1-711,711,711,0,ascomycota,Kluyveromyces dobzhanskii CBS 2104
1,48,pif1_A0A0D6ENE9,A0A0D6ENE9,full,1-733,733,733,0,basidiomycota,Sporidiobolus salmonicolor (Yeast-like fungus) (Sporobolomyces salmonicolor)
1,49,pif1_A0A8H7QRS8,A0A8H7QRS8,full,1-741,741,741,0,mucoromycota,Mucor plumbeus
1,50,pif1_A0A0B1PEI0,A0A0B1PEI0,full,1-842,842,842,0,ascomycota,Erysiphe necator (Grape powdery mildew) (Uncinula necator)
1,51,pif1_A0A0D7ANQ6,A0A0D7ANQ6,full,1-468,468,468,0,basidiomycota,Fistulina hepatica ATCC 64428
1,52,pif1_A0A8H7RPV3,A0A8H7RPV3,full,1-629,629,629,0,mucoromycota,Mucor plumbeus
1,53,pif1_A0A0B2X4N9,A0A0B2X4N9,full,1-803,803,803,0,ascomycota,Metarhizium album (strain ARSEF 1941)
1,54,pif1_A0A0D7BMU1,A0A0D7BMU1,full,1-587,587,587,0,basidiomycota,Cylindrobasidium torrendii FP15055 ss-10
1,55,pif1_A0A8H7S720,A0A8H7S720,full,1-783,783,783,0,mucoromycota,Circinella minor
1,56,pif1_A0A0B4FVA9,A0A0B4FVA9,full,1-856,856,856,0,ascomycota,Metarhizium anisopliae (strain ARSEF 549)
1,57,pif1_A0A0F7RVL5,A0A0F7RVL5,full,1-733,733,733,0,basidiomycota,Sporisorium scitamineum
1,58,pif1_A0A8H7V8V8,A0A8H7V8V8,full,1-1989,1989,1989,0,mucoromycota,Mucor saturninus
1,59,pif1_A0A0C4EG66,A0A0C4EG66,full,1-890,890,890,0,ascomycota,Magnaporthiopsis poae (strain ATCC 64411 / 73-15) (Kentucky bluegrass fungus) (Magnaporthe poae)
1,60,pif1_A0A0H2RNB9,A0A0H2RNB9,full,1-424,424,424,0,basidiomycota,Schizopora paradoxa
1,61,pif1_A0A9N8Z8P5,A0A9N8Z8P5,full,1-728,728,728,0,mucoromycota,Diversispora eburnea
1,62,pif1_A0A0C7N4Y2,A0A0C7N4Y2,full,1-864,864,864,0,ascomycota,Lachancea lanzarotensis
1,63,pif1_A0A0H2S6Y4,A0A0H2S6Y4,full,1-515,515,515,0,basidiomycota,Schizopora paradoxa
1,64,pif1_A0A9N8ZA40,A0A9N8ZA40,full,1-656,656,656,0,mucoromycota,Funneliformis mosseae (Endomycorrhizal fungus) (Glomus mosseae)
1,65,pif1_A0A0C7N9H1,A0A0C7N9H1,full,1-680,680,680,0,ascomycota,Lachancea lanzarotensis
1,66,pif1_A0A0K3C6U0,A0A0K3C6U0,full,1-681,681,681,0,basidiomycota,Rhodotorula toruloides (Yeast) (Rhodosporidium toruloides)
1,67,pif1_A0A9N8ZJ08,A0A9N8ZJ08,full,1-739,739,739,0,mucoromycota,Ambispora gerdemannii
1,68,pif1_A0A0D1ZHZ9,A0A0D1ZHZ9,full,1-825,825,825,0,ascomycota,Exophiala mesophila (Black yeast-like fungus)
1,69,pif1_A0A0K6FND2,A0A0K6FND2,full,1-1059,1059,1059,0,basidiomycota,Rhizoctonia solani
1,70,pif1_A0A9N9DSD6,A0A9N9DSD6,full,1-590,590,590,0,mucoromycota,Ambispora leptoticha
1,71,pif1_A0A0D2AM31,A0A0D2AM31,full,1-1165,1165,1165,0,ascomycota,Verruconis gallopava
1,72,pif1_A0A0K6G747,A0A0K6G747,full,1-838,838,838,0,basidiomycota,Rhizoctonia solani
1,73,pif1_A0A9N9HM59,A0A9N9HM59,full,1-585,585,585,0,mucoromycota,Dentiscutata erythropus
1,74,pif1_A0A0D2CU01,A0A0D2CU01,full,1-792,792,792,0,ascomycota,Cladophialophora immunda
1,75,pif1_A0A0K6G754,A0A0K6G754,full,1-1132,1132,1132,9,basidiomycota,Rhizoctonia solani
1,76,pif1_A0A9N9IT00,A0A9N9IT00,full,1-583,583,583,0,mucoromycota,Cetraspora pellucida
1,77,pif1_A0A0D2H657,A0A0D2H657,full,1-764,764,764,0,ascomycota,Fonsecaea pedrosoi CBS 271.37
1,78,pif1_A0A0K6G7K7,A0A0K6G7K7,full,1-631,631,631,0,basidiomycota,Rhizoctonia solani
1,79,pif1_A0A9P3HAH0,A0A9P3HAH0,full,1-1094,1094,1094,0,mucoromycota,Entomortierella parvispora
1,80,pif1_A0A0D2HCP1,A0A0D2HCP1,full,1-771,771,771,0,ascomycota,Cladophialophora bantiana (strain ATCC 10958 / CBS 173.52 / CDC B-1940 / NIH 8579) (Xylohypha bantiana)
1,81,pif1_A0A0K6GA87,A0A0K6GA87,full,1-534,534,534,0,basidiomycota,Rhizoctonia solani
1,82,pif1_A0A9P3HF53,A0A9P3HF53,full,1-930,930,930,0,mucoromycota,Entomortierella parvispora
1,83,pif1_A0A0D2IYR0,A0A0D2IYR0,full,1-766,766,766,0,ascomycota,Rhinocladiella mackenziei CBS 650.93
1,84,pif1_A0A0L0V172,A0A0L0V172,full,1-640,640,640,0,basidiomycota,Puccinia striiformis f. sp. tritici PST-78
1,85,pif1_A0A9P3HK37,A0A9P3HK37,full,1-1080,1080,1080,0,mucoromycota,Entomortierella parvispora
1,86,pif1_A0A0D2J3X0,A0A0D2J3X0,full,1-766,766,766,0,ascomycota,Fonsecaea multimorphosa CBS 102226
1,87,pif1_A0A0L6V131,A0A0L6V131,full,1-716,716,716,0,basidiomycota,Puccinia sorghi
1,88,pif1_A0A9P3HK44,A0A9P3HK44,full,1-957,957,957,0,mucoromycota,Entomortierella parvispora
1,89,pif1_A0A0D8JVN0,A0A0D8JVN0,full,1-725,725,725,0,ascomycota,Coccidioides immitis (strain RS) (Valley fever fungus)
1,90,pif1_A0A0P1BIQ6,A0A0P1BIQ6,full,1-702,702,702,0,basidiomycota,Ceraceosorus bombacis
1,91,pif1_A0A9P3HKJ7,A0A9P3HKJ7,full,1-1110,1110,1110,0,mucoromycota,Entomortierella parvispora
1,92,pif1_A0A0D9NSG7,A0A0D9NSG7,full,1-813,813,813,0,ascomycota,Metarhizium anisopliae BRIP 53293
1,93,pif1_A0A177TH00,A0A177TH00,full,1-646,646,646,0,basidiomycota,Tilletia indica
1,94,pif1_A0A9P6YYP4,A0A9P6YYP4,full,1-727,727,727,0,mucoromycota,Rhizopus delemar
1,95,pif1_A0A0E9NJD1,A0A0E9NJD1,full,1-951,951,951,0,ascomycota,Saitoella complicata (strain BCRC 22490 / CBS 7301 / JCM 7358 / NBRC 10748 / NRRL Y-17804)
1,96,pif1_A0A177V7P0,A0A177V7P0,full,1-656,656,656,0,basidiomycota,Tilletia caries (wheat bunt fungus)
1,97,pif1_A0A9P7BV71,A0A9P7BV71,full,1-728,728,728,0,mucoromycota,Rhizopus oryzae (Mucormycosis agent) (Rhizopus arrhizus var. delemar)
1,98,pif1_A0A0F4GSW0,A0A0F4GSW0,full,1-886,886,886,0,ascomycota,Zymoseptoria brevis
1,99,pif1_A0A180GTA2,A0A180GTA2,full,1-703,703,703,0,basidiomycota,Puccinia triticina (isolate 1-1 / race 1 (BBBD)) (Brown leaf rust fungus)
2,100,pif1_A0A9W4WTA5,A0A9W4WTA5,full,1-665,665,665,0,mucoromycota,Funneliformis geosporum
2,101,pif1_A0A0F4YPA8,A0A0F4YPA8,full,1-709,709,709,0,ascomycota,Rasamsonia emersonii (strain ATCC 16479 / CBS 393.64 / IMI 116815)
2,102,pif1_A0A1A5ZVX6,A0A1A5ZVX6,full,1-700,700,700,0,basidiomycota,Kwoniella dejecticola CBS 10117
2,103,pif1_A0AAD7XWI0,A0AAD7XWI0,full,1-730,730,730,0,mucoromycota,Lichtheimia ornata
2,104,pif1_A0A0F4ZHF8,A0A0F4ZHF8,full,1-697,697,697,0,ascomycota,Thielaviopsis punctulata
2,105,pif1_A0A1B9FTK0,A0A1B9FTK0,full,1-623,623,623,0,basidiomycota,Kwoniella bestiolae CBS 10118
2,106,pif1_A0AAN7D3L5,A0AAN7D3L5,full,1-756,756,756,0,mucoromycota,Mucor velutinosus
2,107,pif1_A0A0F7TPW7,A0A0F7TPW7,full,1-723,723,723,0,ascomycota,Penicillium brasilianum
2,108,pif1_A0A1B9GFU3,A0A1B9GFU3,full,1-710,710,710,0,basidiomycota,Kwoniella bestiolae CBS 10118
2,109,pif1_A0AAN7D484,A0AAN7D484,full,1-667,667,667,0,mucoromycota,Mucor velutinosus
2,110,pif1_A0A0F7ZTC5,A0A0F7ZTC5,full,1-831,831,831,0,ascomycota,Hirsutella minnesotensis 3608
2,111,pif1_A0A1B9GQY0,A0A1B9GQY0,full,1-645,645,645,0,basidiomycota,Kwoniella heveanensis BCC8398
2,112,pif1_A0ACA9NG08,A0ACA9NG08,full,1-751,751,751,0,mucoromycota,Acaulospora colombiana
2,113,pif1_A0A0F8DHR2,A0A0F8DHR2,full,1-686,686,686,0,ascomycota,Ceratocystis fimbriata f. sp. platani
2,114,pif1_A0A1B9GYC6,A0A1B9GYC6,full,1-708,708,708,0,basidiomycota,Kwoniella heveanensis BCC8398
2,115,pif1_I1BKX4,I1BKX4,full,1-618,618,618,0,mucoromycota,Rhizopus delemar (strain RA 99-880 / ATCC MYA-4621 / FGSC 9543 / NRRL 43880) (Mucormycosis agent) (Rhizopus arrhizus var. delemar)
2,116,pif1_A0A0F8UK25,A0A0F8UK25,full,1-753,753,753,0,ascomycota,Aspergillus ochraceoroseus
2,117,pif1_A0A1B9HTQ2,A0A1B9HTQ2,full,1-702,702,702,0,basidiomycota,Kwoniella pini CBS 10737
2,118,pif1_A0A0F8V674,A0A0F8V674,full,1-799,799,799,0,ascomycota,Aspergillus rambellii
2,119,pif1_A0A1B9IG44,A0A1B9IG44,full,1-717,717,717,0,basidiomycota,Kwoniella mangroviensis CBS 10435
2,120,pif1_A0A0G2G6N1,A0A0G2G6N1,full,1-754,754,754,0,ascomycota,Phaeomoniella chlamydospora (Phaeoacremonium chlamydosporum)
2,121,pif1_A0A1C7MA88,A0A1C7MA88,full,1-600,600,600,0,basidiomycota,Grifola frondosa (Maitake) (Polyporus frondosus)
2,122,pif1_A0A0G2I193,A0A0G2I193,full,1-813,813,813,0,ascomycota,Diaporthe ampelina
2,123,pif1_A0A1E3HRY9,A0A1E3HRY9,full,1-652,652,652,0,basidiomycota,Cryptococcus depauperatus CBS 7841
2,124,pif1_A0A0G4KXU7,A0A0G4KXU7,full,1-876,876,876,0,ascomycota,Verticillium longisporum (Verticillium dahliae var. longisporum)
2,125,pif1_A0A1E3I3G1,A0A1E3I3G1,full,1-656,656,656,0,basidiomycota,Cryptococcus amylolentus CBS 6039
2,126,pif1_A0A0G4N7A9,A0A0G4N7A9,full,1-876,876,876,0,ascomycota,Verticillium longisporum (Verticillium dahliae var. longisporum)
2,127,pif1_A0A1E3JFJ4,A0A1E3JFJ4,full,1-658,658,658,0,basidiomycota,Cryptococcus wingfieldii CBS 7118
2,128,pif1_A0A0G4PIW6,A0A0G4PIW6,full,1-761,761,761,0,ascomycota,Penicillium camemberti (strain FM 013)
2,129,pif1_A0A1J8Q9H0,A0A1J8Q9H0,full,1-612,612,612,0,basidiomycota,Rhizopogon vesiculosus
2,130,pif1_A0A0H1B6P3,A0A0H1B6P3,full,1-798,798,798,0,ascomycota,Blastomyces silverae
2,131,pif1_A0A1K0G3T0,A0A1K0G3T0,full,1-718,718,718,0,basidiomycota,Ustilago bromivora
2,132,pif1_A0A0J9X617,A0A0J9X617,full,1-768,768,768,0,ascomycota,Geotrichum candidum (Oospora lactis) (Dipodascus geotrichum)
2,133,pif1_A0A1M2VF04,A0A1M2VF04,full,1-725,725,725,0,basidiomycota,Trametes pubescens (White-rot fungus)
2,134,pif1_A0A0J9XD28,A0A0J9XD28,full,1-997,997,997,0,ascomycota,Geotrichum candidum (Oospora lactis) (Dipodascus geotrichum)
2,135,pif1_A0A1M2VH00,A0A1M2VH00,full,1-576,576,576,0,basidiomycota,Trametes pubescens (White-rot fungus)
2,136,pif1_A0A0L0NDI1,A0A0L0NDI1,full,1-860,860,860,0,ascomycota,Tolypocladium ophioglossoides (strain CBS 100239) (Snaketongue truffleclub) (Elaphocordyceps ophioglossoides)
2,137,pif1_A0A1M2VTG0,A0A1M2VTG0,full,1-665,665,665,0,basidiomycota,Trametes pubescens (White-rot fungus)
2,138,pif1_A0A0L1J6G6,A0A0L1J6G6,full,1-738,738,738,0,ascomycota,Aspergillus nomiae NRRL (strain ATCC 15546 / NRRL 13137 / CBS 260.88 / M93)
2,139,pif1_A0A1M8AB69,A0A1M8AB69,full,1-586,586,586,0,basidiomycota,Malassezia sympodialis (strain ATCC 42132) (Atopic eczema-associated yeast)
2,140,pif1_A0A0M8P8W8,A0A0M8P8W8,full,1-682,682,682,0,ascomycota,Penicillium nordicum
2,141,pif1_A0A1Q3E1Z4,A0A1Q3E1Z4,full,1-571,571,571,0,basidiomycota,Lentinula edodes (Shiitake mushroom) (Lentinus edodes)
2,142,pif1_A0A0M9VTS8,A0A0M9VTS8,full,1-839,839,839,0,ascomycota,Escovopsis weberi
2,143,pif1_A0A1Q3E2E1,A0A1Q3E2E1,full,1-597,597,597,0,basidiomycota,Lentinula edodes (Shiitake mushroom) (Lentinus edodes)
2,144,pif1_A0A0N0DEY4,A0A0N0DEY4,full,1-822,822,822,0,ascomycota,Fusarium langsethiae
2,145,pif1_A0A1Q3E2N1,A0A1Q3E2N1,full,1-639,639,639,0,basidiomycota,Lentinula edodes (Shiitake mushroom) (Lentinus edodes)
2,146,pif1_A0A0N1NVW2,A0A0N1NVW2,full,1-713,713,713,0,ascomycota,Cyphellophora attinorum
2,147,pif1_A0A1Q3EGR3,A0A1Q3EGR3,full,1-582,582,582,0,basidiomycota,Lentinula edodes (Shiitake mushroom) (Lentinus edodes)
2,148,pif1_A0A0P1KKU7,A0A0P1KKU7,full,1-899,899,899,0,ascomycota,Lachancea quebecensis
2,149,pif1_A0A1Y2IYW8,A0A1Y2IYW8,full,1-706,706,706,0,basidiomycota,Trametes coccinea (strain BRFM310) (Pycnoporus coccineus)
2,150,pif1_A0A0P1KUZ5,A0A0P1KUZ5,full,1-695,695,695,0,ascomycota,Lachancea quebecensis
2,151,pif1_A0A238F8L5,A0A238F8L5,full,1-758,758,758,0,basidiomycota,Microbotryum intermedium
2,152,pif1_A0A0P7BBB4,A0A0P7BBB4,full,1-827,827,827,0,ascomycota,Neonectria ditissima
2,153,pif1_A0A284R575,A0A284R575,full,1-605,605,605,0,basidiomycota,Armillaria ostoyae (Armillaria root rot fungus)
2,154,pif1_A0A0P7BLB4,A0A0P7BLB4,full,1-553,553,553,0,ascomycota,Neonectria ditissima
2,155,pif1_A0A284RAN9,A0A284RAN9,full,1-630,630,630,0,basidiomycota,Armillaria ostoyae (Armillaria root rot fungus)
2,156,pif1_A0A0U1LMZ8,A0A0U1LMZ8,full,1-745,745,745,0,ascomycota,Talaromyces islandicus (Penicillium islandicum)
2,157,pif1_A0A284RQ68,A0A284RQ68,full,1-625,625,625,0,basidiomycota,Armillaria ostoyae (Armillaria root rot fungus)
2,158,pif1_A0A0U5FW00,A0A0U5FW00,full,1-803,803,803,0,ascomycota,Aspergillus calidoustus
2,159,pif1_A0A286UKZ0,A0A286UKZ0,full,1-625,625,625,0,basidiomycota,Pyrrhoderma noxium
2,160,pif1_A0A0V1Q0J3,A0A0V1Q0J3,full,1-688,688,688,0,ascomycota,Debaryomyces fabryi
2,161,pif1_A0A286UR16,A0A286UR16,full,1-635,635,635,0,basidiomycota,Pyrrhoderma noxium
2,162,pif1_A0A0V1Q2Z0,A0A0V1Q2Z0,full,1-788,788,788,0,ascomycota,Debaryomyces fabryi
2,163,pif1_A0A2A9NU72,A0A2A9NU72,full,1-459,459,459,0,basidiomycota,Amanita thiersii Skay4041
2,164,pif1_A0A0W4ZHZ4,A0A0W4ZHZ4,full,1-787,787,787,0,ascomycota,Pneumocystis carinii (strain B80) (Rat pneumocystis pneumonia agent) (Pneumocystis carinii f. sp. carinii)
2,165,pif1_A0A2G8RUN7,A0A2G8RUN7,full,1-608,608,608,0,basidiomycota,Ganoderma sinense ZZ0214-1
2,166,pif1_A0A0W4ZNJ0,A0A0W4ZNJ0,full,1-811,811,811,0,ascomycota,Pneumocystis jirovecii (strain RU7) (Human pneumocystis pneumonia agent)
2,167,pif1_A0A2G8S4W6,A0A2G8S4W6,full,1-615,615,615,0,basidiomycota,Ganoderma sinense ZZ0214-1
2,168,pif1_A0A0X8HVB8,A0A0X8HVB8,full,1-834,834,834,0,ascomycota,Eremothecium sinecaudum
2,169,pif1_A0A2R6NMH7,A0A2R6NMH7,full,1-583,583,583,0,basidiomycota,Hermanssonia centrifuga
2,170,pif1_A0A101MLQ9,A0A101MLQ9,full,1-718,718,718,0,ascomycota,Penicillium freii
2,171,pif1_A0A2R6NTT4,A0A2R6NTT4,full,1-647,647,647,0,basidiomycota,Hermanssonia centrifuga
2,172,pif1_A0A109UW77,A0A109UW77,full,1-702,702,702,0,ascomycota,Eremothecium sinecaudum
2,173,pif1_A0A2S4URQ4,A0A2S4URQ4,full,1-646,646,646,0,basidiomycota,Puccinia striiformis
2,174,pif1_A0A135LFH1,A0A135LFH1,full,1-719,719,719,0,ascomycota,Penicillium patulum (Penicillium griseofulvum)
2,175,pif1_A0A2S5BEQ4,A0A2S5BEQ4,full,1-709,709,709,0,basidiomycota,Rhodotorula taiwanensis
2,176,pif1_A0A135SIN3,A0A135SIN3,full,1-829,829,829,0,ascomycota,Colletotrichum simmondsii
2,177,pif1_A0A2X0KA56,A0A2X0KA56,full,1-751,751,751,0,basidiomycota,Microbotryum saponariae
2,178,pif1_A0A135TU94,A0A135TU94,full,1-834,834,834,0,ascomycota,Colletotrichum nymphaeae SA-01
2,179,pif1_A0A2X0LW32,A0A2X0LW32,full,1-748,748,748,0,basidiomycota,Microbotryum silenes-dioicae
2,180,pif1_A0A135UEW1,A0A135UEW1,full,1-835,835,835,0,ascomycota,Colletotrichum salicis
2,181,pif1_A0A369J1H4,A0A369J1H4,full,1-637,637,637,0,basidiomycota,Hypsizygus marmoreus (White beech mushroom) (Agaricus marmoreus)
2,182,pif1_A0A139HGG1,A0A139HGG1,full,1-858,858,858,0,ascomycota,Pseudocercospora eumusae
2,183,pif1_A0A369K4X4,A0A369K4X4,full,1-591,591,591,0,basidiomycota,Hypsizygus marmoreus (White beech mushroom) (Agaricus marmoreus)
2,184,pif1_A0A139IDY3,A0A139IDY3,full,1-921,921,921,0,ascomycota,Pseudocercospora musae
2,185,pif1_A0A369KAK7,A0A369KAK7,full,1-674,674,674,0,basidiomycota,Hypsizygus marmoreus (White beech mushroom) (Agaricus marmoreus)
2,186,pif1_A0A151GWK7,A0A151GWK7,full,1-878,878,878,0,ascomycota,Drechmeria coniospora (Nematophagous fungus) (Meria coniospora)
2,187,pif1_A0A3G2S9J2,A0A3G2S9J2,full,1-597,597,597,0,basidiomycota,Malassezia restricta (strain ATCC 96810 / NBRC 103918 / CBS 7877) (Seborrheic dermatitis infection agent)
2,188,pif1_A0A161HKE9,A0A161HKE9,full,1-1019,1019,1019,0,ascomycota,Sugiyamaella lignohabitans
2,189,pif1_A0A401G8C9,A0A401G8C9,full,1-682,682,682,0,basidiomycota,Sparassis crispa
2,190,pif1_A0A162ZNR2,A0A162ZNR2,full,1-802,802,802,0,ascomycota,Didymella rabiei (Chickpea ascochyta blight fungus) (Mycosphaerella rabiei)
2,191,pif1_A0A401H636,A0A401H636,full,1-575,575,575,0,basidiomycota,Sparassis crispa
2,192,pif1_A0A166NVT2,A0A166NVT2,full,1-844,844,844,0,ascomycota,Colletotrichum tofieldiae
2,193,pif1_A0A409VCH1,A0A409VCH1,full,1-507,507,507,0,basidiomycota,Gymnopilus dilepis
2,194,pif1_A0A166QWJ6,A0A166QWJ6,full,1-889,889,889,0,ascomycota,Colletotrichum incanum (Soybean anthracnose fungus)
2,195,pif1_A0A409W7F6,A0A409W7F6,full,1-642,642,642,0,basidiomycota,Gymnopilus dilepis
2,196,pif1_A0A166U4T1,A0A166U4T1,full,1-1499,1499,1499,0,ascomycota,Moelleriella libera RCEF 2490
2,197,pif1_A0A409Y7J2,A0A409Y7J2,full,1-626,626,626,0,basidiomycota,Panaeolus cyanescens
2,198,pif1_A0A167DT29,A0A167DT29,full,1-706,706,706,0,ascomycota,Sugiyamaella lignohabitans
2,199,pif1_A0A4Q1BV97,A0A4Q1BV97,full,1-650,650,650,0,basidiomycota,Tremella mesenterica (Jelly fungus)
3,200,pif1_A0A167F3J3,A0A167F3J3,full,1-858,858,858,0,ascomycota,Metarhizium rileyi (Nomuraea rileyi)
3,201,pif1_A0A4Q2DRZ9,A0A4Q2DRZ9,full,1-1013,1013,1013,0,basidiomycota,Candolleomyces aberdarensis
3,202,pif1_A0A167H2R5,A0A167H2R5,full,1-799,799,799,0,ascomycota,Beauveria brongniartii RCEF 3172
