Entry	Entry Name	Protein names	Gene Names	Organism	Organism (ID)	Length	Reviewed	Annotation	AlphaFoldDB	Taxonomic lineage	subphylum	class	order	family	genus	domain	group	anchor
Q0W3R8	Q0W3R8_METAR	DNA 3'-5' helicase (EC 5.6.2.4)	recQ RCIX1772	Methanocella arvoryzae (strain DSM 22066 / NBRC 105507 / MRE50)	351160	605	unreviewed	3.0	Q0W3R8;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanocellales (order), Methanocellaceae (family), Methanocella (genus), Methanocella arvoryzae (species)		Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	arc	arc	
A0AAE4MGR3	A0AAE4MGR3_9EURY	DNA 3'-5' helicase (EC 5.6.2.4)	recQ McpCs1_05410	Methanorbis rubei	3028300	497	unreviewed	2.0	A0AAE4MGR3;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanomicrobiales (order), Methanocorpusculaceae (family), Methanorbis (genus)		Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanorbis	arc	arc	
A0A9E7PMS6	A0A9E7PMS6_9EURY	DNA 3'-5' helicase (EC 5.6.2.4)	L6E24_03040	Methanoplanus endosymbiosus	33865	1181	unreviewed	3.0	A0A9E7PMS6;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanomicrobiales (order), Methanomicrobiaceae (family), Methanoplanus (genus)		Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoplanus	arc	arc	
L0HKE4	L0HKE4_METFS	DNA 3'-5' helicase (EC 5.6.2.4)	Metfor_2810	Methanoregula formicica (strain DSM 22288 / NBRC 105244 / SMSP)	593750	611	unreviewed	3.0	L0HKE4;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanomicrobiales (order), Methanoregulaceae (family), Methanoregula (genus), Methanoregula formicica (species)		Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	arc	arc	
A0A0E3LGE3	A0A0E3LGE3_9EURY	DNA 3'-5' helicase (EC 5.6.2.4)	MSVAZ_0102	Methanosarcina vacuolata Z-761	1434123	966	unreviewed	3.0	A0A0E3LGE3;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanosarcinales (order), Methanosarcinaceae (family), Methanosarcina (genus), Methanosarcina vacuolata (species)		Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	arc	arc	
A0A2V2N7S6	A0A2V2N7S6_9EURY	DNA 3'-5' helicase (EC 5.6.2.4)	recQ DK846_10005	Methanospirillum lacunae	668570	612	unreviewed	3.0	A0A2V2N7S6;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanomicrobiales (order), Methanospirillaceae (family), Methanospirillum (genus)		Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum	arc	arc	
A0A9E7R702	A0A9E7R702_9EURY	DNA 3'-5' helicase (EC 5.6.2.4)	N0B31_10150	Salinirubellus salinus	1364945	883	unreviewed	2.0	A0A9E7R702;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Natronomonadaceae (family), Salinirubellus (genus)		Halobacteria	Halobacteriales	Natronomonadaceae	Salinirubellus	arc	arc	
A0A1F2P9B7	A0A1F2P9B7_9ARCH	DNA 3'-5' helicase (EC 5.6.2.4)	SCAL_001720	Candidatus Syntropharchaeum caldarium	1838285	896	unreviewed	2.0	A0A1F2P9B7;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Halobacteriota (phylum), Candidatus Syntropharchaeia (class), Candidatus Syntropharchaeales (order), Candidatus Syntropharchaeales incertae sedis (no rank), Candidatus Syntropharchaeum (genus)		Candidatus Syntropharchaeia	Candidatus Syntropharchaeales		Candidatus Syntropharchaeum	arc	arc	
A0A0Q4B795	A0A0Q4B795_9BACT	DNA helicase RecQ (EC 5.6.2.4)	AL399_04865	Candidatus [Bacteroides] periocalifornicus	1702214	731	unreviewed	3.0	A0A0Q4B795;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Bacteroidota incertae sedis (no rank)						bac	bac	
A0A368VTF6	A0A368VTF6_9ACTN	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	DFQ14_10310	Halopolyspora algeriensis	1500506	706	unreviewed	2.0	A0A368VTF6;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Actinomycetes incertae sedis (no rank), Halopolyspora (genus)		Actinomycetes			Halopolyspora	bac	bac	
A0A011RD86	A0A011RD86_ACCRE	DNA helicase RecQ (EC 5.6.2.4)	recQ_2 AW11_01709	Accumulibacter regalis	522306	611	unreviewed	3.0	A0A011RD86;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Betaproteobacteria incertae sedis (no rank), Candidatus Accumulibacter (genus)		Betaproteobacteria			Candidatus Accumulibacter	bac	bac	
A0A0P0UTH4	A0A0P0UTH4_9GAMM	DNA helicase RecQ (EC 5.6.2.4)	BSEPE_1208	endosymbiont of Bathymodiolus septemdierum str. Myojin knoll	1303921	732	unreviewed	3.0	A0A0P0UTH4;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Gammaproteobacteria incertae sedis (no rank), sulfur-oxidizing symbionts (clade), Bathymodiolus septemdierum thioautotrophic gill symbiont (species)		Gammaproteobacteria				bac	bac	
A0A518EUA6	A0A518EUA6_9BACT	DNA helicase RecQ (EC 5.6.2.4)	recQ_1 Poly30_32010	Saltatorellus ferox	2528018	720	unreviewed	3.0	A0A518EUA6;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), PVC group (clade), Planctomycetota (phylum), Planctomycetia (class), Planctomycetia incertae sedis (no rank), Saltatorellus (genus)		Planctomycetia			Saltatorellus	bac	bac	
A0A562J7T8	A0A562J7T8_9FIRM	DNA helicase RecQ (EC 5.6.2.4)	LY60_02521	Sedimentibacter saalensis	130788	727	unreviewed	3.0	A0A562J7T8;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Tissierellia (class), Tissierellia incertae sedis (no rank), Sedimentibacter (genus)		Tissierellia			Sedimentibacter	bac	bac	
A0A2S8SS64	A0A2S8SS64_9BACT	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	B1R32_110101	Abditibacterium utsteinense	1960156	731	unreviewed	3.0	A0A2S8SS64;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Abditibacteriota (phylum), Abditibacteriia (class), Abditibacteriales (order), Abditibacteriaceae (family), Abditibacterium (genus)		Abditibacteriia	Abditibacteriales	Abditibacteriaceae	Abditibacterium	bac	bac	
A0A3N5BR11	A0A3N5BR11_9BACL	DNA helicase RecQ (EC 5.6.2.4)	EDD62_0058	Abyssicoccus albus	1817405	592	unreviewed	3.0	A0A3N5BR11;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Abyssicoccaceae (family), Abyssicoccus (genus)		Bacilli	Bacillales	Abyssicoccaceae	Abyssicoccus	bac	bac	
A0A8J7PYK5	A0A8J7PYK5_9BACT	DNA helicase RecQ (EC 5.6.2.4)	recQ J3U88_01000	Acanthopleuribacter pedis	442870	617	unreviewed	3.0	A0A8J7PYK5;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Acidobacteriota (phylum), Holophagae (class), Acanthopleuribacterales (order), Acanthopleuribacteraceae (family), Acanthopleuribacter (genus)		Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	bac	bac	
A0A2W1JHV8	A0A2W1JHV8_9CYAN	DNA helicase RecQ (EC 5.6.2.4)	recQ_1 C1752_02882	Acaryochloris thomasi RCC1774	1764569	741	unreviewed	3.0	A0A2W1JHV8;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Acaryochloridales (order), Acaryochloridaceae (family), Acaryochloris (genus), Acaryochloris thomasi (species)		Cyanophyceae	Acaryochloridales	Acaryochloridaceae	Acaryochloris	bac	bac	
A0A2K9DZ71	A0A2K9DZ71_9FIRM	DNA 3'-5' helicase (EC 5.6.2.4)	recQ1 HVS_04250	Acetivibrio saccincola	1677857	1608	unreviewed	3.0		cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Acetivibrionales (order), Acetivibrionaceae (family), Acetivibrio (genus)		Clostridia	Acetivibrionales	Acetivibrionaceae	Acetivibrio	bac	bac	
A0AAF1JXC9	A0AAF1JXC9_9PROT	DNA helicase RecQ (EC 5.6.2.4)	recQ GXW79_01465	Plastoroseomonas arctica	1509237	699	unreviewed	3.0	A0AAF1JXC9;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Acetobacterales (order), Acetobacteraceae (family), Plastoroseomonas (genus)		Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Plastoroseomonas	bac	bac	
F7NEC0	F7NEC0_9FIRM	DNA helicase RecQ (EC 5.6.2.4)	ALO_01914	Acetonema longum DSM 6540	1009370	713	unreviewed	3.0	F7NEC0;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Negativicutes (class), Negativicutes incertae sedis (no rank), Acetonemataceae (family), Acetonema (genus), Acetonema longum (species)		Negativicutes		Acetonemataceae	Acetonema	bac	bac	
A0A061AFG4	A0A061AFG4_9MOLU	DNA 3'-5' helicase (EC 5.6.2.4)	Aocu_01930	Acholeplasma oculi	35623	1601	unreviewed	2.0		cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Mycoplasmatota (phylum), Mollicutes (class), Acholeplasmatales (order), Acholeplasmataceae (family), Acholeplasma (genus)		Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	bac	bac	
A0A1G5S623	A0A1G5S623_9FIRM	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	SAMN03080599_03039	Acidaminobacter hydrogenoformans DSM 2784	1120920	653	unreviewed	3.0	A0A1G5S623;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Peptostreptococcales (order), Acidaminobacteraceae (family), Acidaminobacter (genus), Acidaminobacter hydrogenoformans (species)		Clostridia	Peptostreptococcales	Acidaminobacteraceae	Acidaminobacter	bac	bac	
A0A1G6HSS6	A0A1G6HSS6_9FIRM	DNA 3'-5' helicase (EC 5.6.2.4)	SAMN04487864_101172	Succiniclasticum ruminis	40841	1160	unreviewed	2.0	A0A1G6HSS6;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Negativicutes (class), Acidaminococcales (order), Acidaminococcaceae (family), Succiniclasticum (genus)		Negativicutes	Acidaminococcales	Acidaminococcaceae	Succiniclasticum	bac	bac	
A0A1B4XJF1	A0A1B4XJF1_9GAMM	DNA helicase RecQ (EC 5.6.2.4)	SCL_2658	Sulfuricaulis limicola	1620215	628	unreviewed	3.0	A0A1B4XJF1;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Acidiferrobacterales (order), Acidiferrobacteraceae (family), Sulfuricaulis (genus)		Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	Sulfuricaulis	bac	bac	
A0A410QGW7	A0A410QGW7_9FIRM	DNA helicase RecQ (EC 5.6.2.4)	recQ EQM13_17555	Acidilutibacter cellobiosedens	2507161	719	unreviewed	3.0	A0A410QGW7;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Tissierellia (class), Tissierellales (order), Acidilutibacteraceae (family), Acidilutibacter (genus)		Tissierellia	Tissierellales	Acidilutibacteraceae	Acidilutibacter	bac	bac	
A0ABW9QRC2	A0ABW9QRC2_9ACTN	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	GHK86_04440	Acidiferrimicrobium australe	2664430	528	unreviewed	2.0		cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Acidimicrobiia (class), Acidimicrobiales (order), Acidimicrobiaceae (family), Acidiferrimicrobium (genus)		Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidiferrimicrobium	bac	bac	
F9ZMJ3	F9ZMJ3_ACICS	DNA helicase RecQ (EC 5.6.2.4)	Atc_0733	Acidithiobacillus caldus (strain SM-1)	990288	611	unreviewed	3.0	F9ZMJ3;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Acidithiobacillia (class), Acidithiobacillales (order), Acidithiobacillaceae (family), Acidithiobacillus (genus), Acidithiobacillus caldus (species)		Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	bac	bac	
A0A239H5J1	A0A239H5J1_9BACT	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	SAMN05421770_102231	Granulicella rosea	474952	933	unreviewed	3.0	A0A239H5J1;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Acidobacteriota (phylum), Terriglobia (class), Terriglobales (order), Acidobacteriaceae (family), Granulicella (genus)		Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella	bac	bac	
A0AAW9DKT4	A0AAW9DKT4_ACIAO	DNA helicase RecQ (EC 5.6.2.4)	recQ SIL87_02270	Acidiphilium acidophilum (Thiobacillus acidophilus)	76588	628	unreviewed	3.0	A0AAW9DKT4;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Acetobacterales (order), Acidocellaceae (family), Acidiphilium (genus)		Alphaproteobacteria	Acetobacterales	Acidocellaceae	Acidiphilium	bac	bac	
A0A448HF07	A0A448HF07_9ACTO	DNA 3'-5' helicase (EC 5.6.2.4)	recQ NCTC11636_00715	Actinomyces howellii	52771	751	unreviewed	2.0	A0A448HF07;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Actinomycetales (order), Actinomycetaceae (family), Actinomyces (genus)		Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	bac	bac	
A0A1H1LRT7	A0A1H1LRT7_9ACTN	DNA 3'-5' helicase (EC 5.6.2.4)	SAMN04489717_0497	Actinopolymorpha singaporensis	117157	775	unreviewed	3.0	A0A1H1LRT7;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Propionibacteriales (order), Actinopolymorphaceae (family), Actinopolymorpha (genus)		Actinomycetes	Propionibacteriales	Actinopolymorphaceae	Actinopolymorpha	bac	bac	
A0A1H1DH84	A0A1H1DH84_9ACTN	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	SAMN04489718_2083	Actinopolyspora saharensis	995062	755	unreviewed	3.0	A0A1H1DH84;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Actinopolysporales (order), Actinopolysporaceae (family), Actinopolyspora (genus)		Actinomycetes	Actinopolysporales	Actinopolysporaceae	Actinopolyspora	bac	bac	
A0A9X5HDU0	A0A9X5HDU0_9ACTN	DNA helicase RecQ (EC 5.6.2.4)	recQ G3I18_23025	Actinospica acidiphila	304899	657	unreviewed	3.0	A0A9X5HDU0;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Catenulisporales (order), Actinospicaceae (family), Actinospica (genus)		Actinomycetes	Catenulisporales	Actinospicaceae	Actinospica	bac	bac	
A0A6N8HWU5	A0A6N8HWU5_9FIRM	DNA helicase RecQ (EC 5.6.2.4)	recQ CAFE_05400	Caproicibacter fermentans	2576756	716	unreviewed	3.0	A0A6N8HWU5;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Eubacteriales (order), Acutalibacteraceae (family), Caproicibacter (genus)		Clostridia	Eubacteriales	Acutalibacteraceae	Caproicibacter	bac	bac	
K1MF24	K1MF24_9LACT	DNA helicase RecQ (EC 5.6.2.4)	HMPREF9706_00849	Facklamia hominis CCUG 36813	883111	722	unreviewed	3.0	K1MF24;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Lactobacillales (order), Aerococcaceae (family), Facklamia (genus), Facklamia hominis (species)		Bacilli	Lactobacillales	Aerococcaceae	Facklamia	bac	bac	
A0KL03	A0KL03_AERHH	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	AHA_2439	Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC 13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049)	380703	642	unreviewed	3.0	A0KL03;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Aeromonadales (order), Aeromonadaceae (family), Aeromonas (genus), Aeromonas hydrophila (species), Aeromonas hydrophila subsp. hydrophila (subspecies)		Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	bac	bac	
