tip_label	accession	taxid	organism	group	role	gene	core_from	core_to	full_len	core_len
A0A160T2S6_CandidatusPromineifilum	A0A160T2S6	1806508	Candidatus Promineifilum breve	bac		CFX0092_A1330	658	763	977	106
A0A1G8XS71_Catalinimonas	A0A1G8XS71	1075417	Catalinimonas alkaloidigena	bac		SAMN05421823_101460	401	513	728	113
A0A1G9MVS0_Siphonobacter	A0A1G9MVS0	563176	Siphonobacter aquaeclarae	bac		SAMN04488090_1763	407	559	772	153
A0A1I2NUQ3_Desulfotruncus	A0A1I2NUQ3	1121424	Desulfotruncus arcticus DSM 17038	bac		SAMN05660649_00578	401	514	715	114
A0A1I5AKD4_Algoriphagus	A0A1I5AKD4	226506	Algoriphagus ornithinivorans	bac		SAMN04488519_101191	429	542	755	114
A0A1I5D7G2_Cohaesibacter	A0A1I5D7G2	655353	Cohaesibacter marisflavi	bac		SAMN04488056_102504	438	551	642	114
A0A1L9QUZ5_Roseofilum	A0A1L9QUZ5	1925591	Roseofilum reptotaenium AO1-A	bac		BI308_06275	403	516	720	114
A0A1R4HFK0_Crenothrix	A0A1R4HFK0	360316	Crenothrix polyspora	bac		recQ	400	513	713	114
A0A1T5J490_Maledivibacter	A0A1T5J490	36842	Maledivibacter halophilus	bac		SAMN02194393_00916	400	513	727	114
A0A1Y3XTT9_Enorma	A0A1Y3XTT9	1232426	[Collinsella] massiliensis	bac		B5G02_05655	462	562	697	101
A0A221T3A4_Deinococcus	A0A221T3A4	317577	Deinococcus ficus	bac		DFI_19450	404	512	918	109
A0A222G8Z2_Cognaticolwellia	A0A222G8Z2	1967665	Cognaticolwellia beringensis	bac		recQ	446	559	643	114
A0A285UIF3_Ureibacillus	A0A285UIF3	614649	Ureibacillus acetophenoni	bac		SAMN05877842_1078	401	514	721	114
A0A286U1U6_CandidatusScalindua	A0A286U1U6	1284222	Candidatus Scalindua japonica	bac		SCALIN_C28_0322	395	508	717	114
A0A2A2TC27_Brunnivagina	A0A2A2TC27	987040	Brunnivagina elsteri CCALA 953	bac		recQ	404	517	720	114
A0A2T4TXS8_CandidatusMethylomirabilis	A0A2T4TXS8	2033718	Candidatus Methylomirabilis limnetica	bac		recQ	397	510	612	114
A0A2T5IB84_Trichococcus	A0A2T5IB84	382641	Trichococcus patagoniensis	bac		C8U37_1243	396	508	732	113
A0A2V3V4Y2_Blastomonas	A0A2V3V4Y2	34015	Blastomonas natatoria	bac		C7451_1069	395	506	589	112
A0A2W1NQ56_Putridiphycobacter	A0A2W1NQ56	2219161	Putridiphycobacter roseus	bac		recQ	406	519	731	114
A0A2Z4FJA8_Bradymonas	A0A2Z4FJA8	1548548	Bradymonas sediminis	bac		DN745_06540	525	625	752	101
A0A317T5X7_Prosthecochloris	A0A317T5X7	2017681	Prosthecochloris marina	bac		recQ	418	531	622	114
A0A317ZM88_Coraliomargarita	A0A317ZM88	2174842	Coraliomargarita sinensis	bac		recQ	400	516	731	117
A0A345UNQ0_Cyclonatronum	A0A345UNQ0	1457365	Cyclonatronum proteinivorum	bac		CYPRO_2864	399	510	717	112
A0A370GZG6_Aquicella	A0A370GZG6	254246	Aquicella lusitana	bac		C8D86_10329	399	512	619	114
A0A402D4B0_Capsulimonas	A0A402D4B0	2219043	Capsulimonas corticalis	bac		CCAX7_31950	590	690	785	101
A0A430FVU8_Bifidobacterium	A0A430FVU8	2306974	Bifidobacterium samirii	bac		D2E24_0480	568	697	811	130
A0A433N804_Chlorogloeopsis	A0A433N804	211165	Chlorogloeopsis fritschii PCC 6912	bac		recQ	404	516	718	113
A0A4V2PSQ1_Celerinatantimonas	A0A4V2PSQ1	412034	Celerinatantimonas diazotrophica	bac		EV690_0207	397	510	597	114
A0A5D0MI91_CandidatusMcinerneyibacterium	A0A5D0MI91	2703815	Candidatus Mcinerneyibacterium aminivorans	bac		recQ	400	512	592	113
A0A5E4SVZ8_Pandoraea	A0A5E4SVZ8	1537710	Pandoraea terrae	bac		PTE30175_00975	481	594	683	114
A0A5S9IVB4_CandidatusUabimicrobium	A0A5S9IVB4	2596890	Uabimicrobium amorphum	bac		UABAM_06597	495	603	715	109
A0A6H2H5B3_Polaromonas	A0A6H2H5B3	37448	Polaromonas vacuolata	bac		recQ	515	632	728	118
A0A6I6GEN3_Phnomibacter	A0A6I6GEN3	2676868	Phnomibacter ginsenosidimutans	bac		recQ	447	560	775	114
A0A6N8FYU1_Gloeocapsopsis	A0A6N8FYU1	1433147	Gloeocapsopsis dulcis AAB1 = 1H9	bac		BWI75_15965	404	517	710	114
A0A6N9NHD2_Acidiluteibacter	A0A6N9NHD2	2692424	Acidiluteibacter ferrifornacis	bac		recQ	405	520	731	116
A0A7D5ZFT6_Chitinibacter	A0A7D5ZFT6	1737446	Chitinibacter fontanus	bac		recQ	406	518	606	113
A0A7W5Z3Y6_Pseudochelatococcus	A0A7W5Z3Y6	1538103	Pseudochelatococcus contaminans	bac		FHS81_001616	420	532	625	113
A0A7W9C6R0_Brevundimonas	A0A7W9C6R0	74316	Brevundimonas aurantiaca	bac		GGQ93_001898	418	532	743	115
A0A839UQB2_Simiduia	A0A839UQB2	1510459	Simiduia aestuariiviva	bac		FHS30_001874	400	513	727	114
A0A842HBX8_Ruficoccus	A0A842HBX8	1804625	Ruficoccus amylovorans	bac		H5P28_01480	497	614	707	118
A0A8J7ABZ7_Vasconcelosia	A0A8J7ABZ7	915328	Vasconcelosia minhoensis LEGE 07310	bac		recQ	416	529	740	114
A0A916SJX3_Brucella	A0A916SJX3	1963359	Brucella endophytica	bac		recQ	398	511	603	114
A0A926I077_Bianquea	A0A926I077	2763661	Bianquea renquensis	bac		recQ	406	519	616	114
A0A934N804_CandidatusNephthysia	A0A934N804	3127016	Candidatus Nephthysia bennettiae	bac		JF922_05205	414	521	609	108
A0A9E7BXP6_Capillimicrobium	A0A9E7BXP6	2884022	Capillimicrobium parvum	bac		srmB_1	511	594	594	84
A0A9X1B5E7_Lamprobacter	A0A9X1B5E7	1064514	Lamprobacter modestohalophilus	bac		recQ	410	520	785	111
A0AAJ5ZDB7_CandidatusLucifugimonas	A0AAJ5ZDB7	3038979	Candidatus Lucifugimonas marina	bac		recQ	433	542	771	110
A0AAP2DMN6_Chryseosolibacter	A0AAP2DMN6	2782349	Chryseosolibacter histidinae	bac		recQ	400	512	787	113
A0AAU0UN36_Metallumcola	A0AAU0UN36	3039180	Metallumcola ferriviriculae	bac		recQ	401	514	593	114
A0AAV5N591_Leminorella	A0AAV5N591	82981	Leminorella grimontii	bac		recQ	406	518	616	113
A0AAW4W2Y6_Agathobaculum	A0AAW4W2Y6	1628085	Agathobaculum butyriciproducens	bac		recQ	408	525	614	118
A0ABN2C8H1_Dermacoccus	A0ABN2C8H1	322601	Dermacoccus barathri	bac		recQ	418	533	625	116
B4CWF3_Chthoniobacter	B4CWF3	497964	Chthoniobacter flavus Ellin428	bac		CfE428DRAFT_0990	401	518	610	118
B9Z938_Pseudogulbenkiania	B9Z938	279714	Pseudogulbenkiania ferrooxidans 2002	bac		FuraDRAFT_3875	426	539	628	114
C7Q0K4_Catenulispora	C7Q0K4	479433	Catenulispora acidiphila (strain DSM 44928 / JCM 14897 / NBRC 102108 / NRRL B-24433 / ID139908)	bac		Caci_0697	407	523	662	117
F2JH42_Cellulosilyticum	F2JH42	642492	Cellulosilyticum lentocellum (strain ATCC 49066 / DSM 5427 / NCIMB 11756 / RHM5) (Clostridium lentocellum)	bac		Clole_0097	397	510	733	114
F5YFZ3_Leadbettera	F5YFZ3	545695	Leadbettera azotonutricia (strain ATCC BAA-888 / DSM 13862 / ZAS-9) (Treponema azotonutricium)	bac		recQ	418	534	652	117
K6VN58_Austwickia	K6VN58	1184607	Austwickia chelonae NBRC 105200	bac		recQ	419	535	643	117
K9U8N6_Chroococcidiopsis	K9U8N6	251229	Chroococcidiopsis thermalis (strain PCC 7203)	bac		Chro_5413	404	517	708	114
K9UPW5_Chamaesiphon	K9UPW5	1173020	Chamaesiphon minutus (strain ATCC 27169 / PCC 6605)	bac		Cha6605_5880	415	533	743	119
K9WB97_Allocoleopsis	K9WB97	1173027	Allocoleopsis franciscana PCC 7113	bac		Mic7113_1782	452	565	757	114
K9XW22_Stanieria	K9XW22	111780	Stanieria cyanosphaera (strain ATCC 29371 / PCC 7437)	bac		Sta7437_3226	401	514	708	114
L0F6J6_Desulfitobacterium	L0F6J6	871963	Desulfitobacterium dichloroeliminans (strain LMG P-21439 / DCA1)	bac		Desdi_2014	401	513	748	113
M7P128_Cesiribacter	M7P128	1279009	Cesiribacter andamanensis AMV16	bac		recQ_1	401	514	727	114
Q2NQG3_Sodalis	Q2NQG3	343509	Sodalis glossinidius (strain morsitans)	bac		SG2337	418	531	625	114
S0FV63_Desulfotignum	S0FV63	1286635	Desulfotignum phosphitoxidans DSM 13687	bac		recQ	397	508	734	112
W4MBW4_CandidatusEntotheonella	W4MBW4	1429439	Candidatus Entotheonella gemina	bac		ETSY2_08965	511	617	725	107
P40724_Salmonella	P40724	99287	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	bac		recQ	406	518	609	113
A0A068NYV6_Fimbriimonas	A0A068NYV6	661478	Fimbriimonas ginsengisoli Gsoil 348	bac		OP10G_4121	397	510	602	114
A0A098S861_Phaeodactylibacter	A0A098S861	1524460	Phaeodactylibacter xiamenensis	bac		IX84_11790	409	522	733	114
A0A0B5FQV7_Geoalkalibacter	A0A0B5FQV7	483547	Geoalkalibacter subterraneus	bac		GSUB_04545	400	513	616	114
A0A0G3WII3_Endomicrobium	A0A0G3WII3	1408281	Endomicrobium proavitum	bac		recQ	413	525	618	113
A0A0K6IWZ8_Tepidiphilus	A0A0K6IWZ8	876478	Tepidiphilus thermophilus	bac		Ga0061068_10932	416	528	623	113
A0A0X8H0L1_Erysipelothrix	A0A0X8H0L1	1514105	Erysipelothrix larvae	bac		AOC36_07825	399	512	707	114
A0A191ZG12_Halothiobacillus	A0A191ZG12	1860122	Halothiobacillus diazotrophicus	bac		A9404_04950	406	519	610	114
A0A194AH66_Desulfoplanes	A0A194AH66	1592317	Desulfoplanes formicivorans	bac		DPF_0806	407	520	738	114
A0A1A6C1R1_Acidihalobacter	A0A1A6C1R1	160660	Acidihalobacter prosperus	bac		Thpro_022739	407	520	715	114
A0A1B7LKK4_Desulfotomaculum	A0A1B7LKK4	1838280	Desulfotomaculum copahuensis	bac		A6M21_01645	503	598	764	96
A0A1E5G2T0_Desulfuribacillus	A0A1E5G2T0	766136	Desulfuribacillus alkaliarsenatis	bac		BHF68_06145	370	483	713	114
A0A1G6D544_Desulfonatronum	A0A1G6D544	617002	Desulfonatronum thiosulfatophilum	bac		SAMN05660653_01921	634	741	962	108
A0A1H3VLN1_Desulfuromusa	A0A1H3VLN1	37625	Desulfuromusa kysingii	bac		SAMN05660420_00148	413	526	613	114
A0A1I1IKW5_Flexibacter	A0A1I1IKW5	927664	Flexibacter flexilis DSM 6793	bac		SAMN05421780_1054	404	517	730	114
A0A1I3QJ50_Desulfomicrobium	A0A1I3QJ50	52560	Desulfomicrobium apsheronum	bac		SAMN04488082_102342	414	526	748	113
A0A1I4ZKX2_Izhakiella	A0A1I4ZKX2	1367852	Izhakiella capsodis	bac		SAMN05216516_10932	416	529	618	114
A0A1I5VSU4_Pseudarcicella	A0A1I5VSU4	1079859	Pseudarcicella hirudinis	bac		SAMN04515674_11046	405	570	785	166
A0A1I5Z8U4_Hymenobacter	A0A1I5Z8U4	1227077	Hymenobacter arizonensis (Siccationidurans arizonensis)	bac		SAMN04515668_2826	568	681	908	114
A0A1M5WI02_Chryseolinea	A0A1M5WI02	947013	Chryseolinea serpens	bac		SAMN04488109_5717	416	529	742	114
A0A1M5Y074_Desulfofustis	A0A1M5Y074	1121409	Desulfofustis glycolicus DSM 9705	bac		SAMN02745124_03494	398	511	603	114
A0A1M6RBA8_Fibrobacter	A0A1M6RBA8	28122	Fibrobacter intestinalis	bac		SAMN05720469_103176	419	532	618	114
A0A1R3SVW1_Proteiniphilum	A0A1R3SVW1	1642647	Proteiniphilum saccharofermentans	bac		PSM36_1646	419	532	747	114
A0A1T5CYS7_Acetoanaerobium	A0A1T5CYS7	745369	Acetoanaerobium noterae	bac		SAMN02745120_2480	400	513	602	114
A0A1U7HHK2_Hydrococcus	A0A1U7HHK2	1921803	Hydrococcus rivularis NIES-593	bac		NIES593_11185	404	517	708	114
A0A212QQJ6_Arboricoccus	A0A212QQJ6	1963835	Arboricoccus pini	bac		SAMN07250955_102296	403	515	602	113
A0A225DBC6_Fimbriiglobus	A0A225DBC6	1908690	Fimbriiglobus ruber	bac		FRUB_08391	410	523	747	114
A0A235F601_Fictibacillus	A0A235F601	2021314	Fictibacillus aquaticus	bac		recQ	399	513	710	115
A0A285H271_Orenia	A0A285H271	1413210	Orenia metallireducens	bac		SAMN06265827_11327	490	602	798	113
A0A2D0AXL0_Halomonas	A0A2D0AXL0	213554	Halomonas campaniensis	bac		JI62_19690	405	518	714	114
A0A2G4YLP4_Paremcibacter	A0A2G4YLP4	2043170	Paremcibacter congregatus	bac		recQ	401	512	610	112
A0A2L2XFV9_Desulfocucumis	A0A2L2XFV9	1898651	Desulfocucumis palustris	bac		DCCM_4251	497	598	827	102
A0A2N6K3U4_Fischerella	A0A2N6K3U4	2019572	Fischerella muscicola CCMEE 5323	bac		recQ	404	517	719	114
A0A2Z2NNV3_Granulosicoccus	A0A2Z2NNV3	1192854	Granulosicoccus antarcticus IMCC3135	bac		recQ	406	519	609	114
A0A3N1NZ51_Gallaecimonas	A0A3N1NZ51	584787	Gallaecimonas pentaromativorans	bac		EDC28_107133	410	522	610	113
A0A402A3C8_Tengunoibacter	A0A402A3C8	2014871	Tengunoibacter tsumagoiensis	bac		recQ_2	408	521	745	114
A0A430AZF0_Vagococcus	A0A430AZF0	564710	Vagococcus acidifermentans	bac		CBF27_04190	407	520	611	114
A0A4U8YT89_Desulfoluna	A0A4U8YT89	231438	Desulfoluna butyratoxydans	bac		MSL71_47290	401	513	611	113
A0A502EKH7_Flavobacterium	A0A502EKH7	29533	Flavobacterium pectinovorum	bac		recQ	394	506	774	113
A0A5B8NPQ6_Euhalothece	A0A5B8NPQ6	522448	Euhalothece natronophila Z-M001	bac		recQ	402	515	711	114
A0A5D3WN03_Geothermobacter	A0A5D3WN03	213224	Geothermobacter ehrlichii	bac		EDC39_10567	429	542	630	114
A0A5J6MNJ6_Hypericibacter	A0A5J6MNJ6	2602015	Hypericibacter terrae	bac		FRZ44_16290	409	522	616	114
A0A5Q2MVM1_Heliorestis	A0A5Q2MVM1	356322	Heliorestis convoluta	bac		recQ	407	520	597	114
A0A5R9EW53_Exobacillus	A0A5R9EW53	2574798	Exobacillus caeni	bac		recQ	401	514	715	114
A0A6L5YAS1_Pyramidobacter	A0A6L5YAS1	2605789	Pyramidobacter porci	bac		recQ	408	520	622	113
A0A7G9GXP2_Fusobacterium	A0A7G9GXP2	2764326	Fusobacterium hominis	bac		recQ	412	523	640	112
A0A7M2YYX5_Gaiella	A0A7M2YYX5	1002870	Gaiella occulta	bac		Gocc_1088	489	573	659	85
A0A848J3B6_Marinigracilibium	A0A848J3B6	2729599	Marinigracilibium pacificum	bac		recQ	405	517	732	113
A0A8A7KAE8_Iocasia	A0A8A7KAE8	2682810	Iocasia frigidifontis	bac		recQ	401	513	705	113
A0A8J6QEZ7_Neiella	A0A8J6QEZ7	2771431	Neiella litorisoli	bac		recQ	410	523	609	114
A0A915U1I5_Desulfolithobacter	A0A915U1I5	2795293	Desulfolithobacter dissulfuricans	bac		recQ	406	519	723	114
A0A917DHV4_Croceicoccus	A0A917DHV4	1703341	Croceicoccus pelagius	bac		recQ	432	543	628	112
A0A926HUW0_Feifania	A0A926HUW0	2763660	Feifania hominis	bac		recQ	432	545	636	114
A0A975BXN6_Desulfonema	A0A975BXN6	45655	Desulfonema magnum	bac		recQ	407	520	969	114
A0A9X3Z6L4_Govanella	A0A9X3Z6L4	2975056	Govanella unica	bac		recQ	398	511	598	114
A0AA37TN91_Paraferrimonas	A0AA37TN91	2013866	Paraferrimonas haliotis	bac		recQ	412	525	616	114
A0AA41UKV1_Desulfatitalea	A0AA41UKV1	2929485	Desulfatitalea alkaliphila	bac		recQ	402	513	756	112
A0AA91EGB6_Obesumbacterium	A0AA91EGB6	1354268	Obesumbacterium proteus ATCC 12841	bac		M993_02552	406	518	612	113
A0AAN1X9N7_Sideroxyarcus	A0AAN1X9N7	2764705	Sideroxyarcus emersonii	bac		MIZ01_1121	405	518	615	114
A0AAU9D4R6_Haliovirga	A0AAU9D4R6	2996794	Haliovirga abyssi	bac		recQ	403	516	743	114
