accession	group	core_from	core_to	subphylum	organism
A0A7M7MJX8	RECQL5-like	1	1177	Chelicerata	Varroa destructor (Honeybee mite)
A0AAD2D3K5	RECQL5-like	1	978	Intramacronucleata	Euplotes crassus
A0A091HBL4	RECQL5-like	1	1007	Craniata	Buceros rhinoceros silvestris
A0A059EYE9	RECQL5-like	1	728		Anncaliia algerae PRA339
A0A0L1IV60	RECQL5-like	1	1218	Pezizomycotina	Aspergillus nomiae NRRL (strain ATCC 15546 / NRRL 13137 / CBS 260.88 / M93)
A0A9N9JGJ9	RECQL5-like	1	274	Glomeromycotina	Acaulospora morrowiae
A0A0C3A231	RECQL5-like	1	848	Agaricomycotina	Scleroderma citrinum Foug A
A0A154PG82	RECQL5-like	1	979	Hexapoda	Dufourea novaeangliae (Sweat bee)
A0A316VIH0	RECQL5-like	1	672	Ustilaginomycotina	Meira miltonrushii
A0A7R8CJN7	RECQL5-like	1	1007	Crustacea	Lepeophtheirus salmonis (Salmon louse) (Caligus salmonis)
A0A5N6QVT9	RECQL5-like	1	989	Streptophytina	Carpinus fangiana
A0A9P6NZH0	RECQL5-like	1	707	Pucciniomycotina	Cronartium quercuum f. sp. fusiforme G11
A0A834R357	RECQL5-like	1	1197	Chelicerata	Sarcoptes scabiei (Itch mite) (Acarus scabiei)
