tip	accession	source	core_plddt
A0A178CX55_Fonsecaea	A0A178CX55	AFDB	89.06
A0A178FD44_Trichophyton	A0A178FD44	AFDB	88.44
A0A1B2JBB9_Komagataella	A0A1B2JBB9	AFDB	89.01
A0A1E3B484_Aspergillus	A0A1E3B484	AFDB	88.79
A0A1F8AAX5_Aspergillus	A0A1F8AAX5	AFDB	86.97
A0A1G4B3T3_Colletotrichum	A0A1G4B3T3	AFDB	88.64
A0A1G4J9Z3_Lachancea	A0A1G4J9Z3	AFDB	88.65
A0A1G4M6R4_Lachancea	A0A1G4M6R4	AFDB	88.36
A0A1J9QLP1_Diplodia	A0A1J9QLP1	AFDB	87.47
A0A1L7WWW9_Phialocephala	A0A1L7WWW9	AFDB	86.85
A0A1V6U152_Penicillium	A0A1V6U152	AFDB	87.03
A0A1W5D893_Lasallia	A0A1W5D893	AFDB	88.55
A0A2A9PT09_Ophiocordyceps	A0A2A9PT09	AFDB	88.24
A0A2C5WV42_Ceratocystis	A0A2C5WV42	AFDB	90.0
A0A2C5Z163_Ophiocordyceps	A0A2C5Z163	AFDB	88.53
A0A2G7FQB8_Aspergillus	A0A2G7FQB8	AFDB	88.43
A0A2S4L8F3_Tolypocladium	A0A2S4L8F3	AFDB	87.73
A0A2S4Q1N6_Erysiphe	A0A2S4Q1N6	AFDB	87.87
A0A2T0FEC6_Wickerhamiella	A0A2T0FEC6	AFDB	90.14
A0A2U9RAS2_Pichia	A0A2U9RAS2	AFDB	91.21
A0A370TV91_Venustampulla	A0A370TV91	AFDB	88.07
A0A3D8QMU0_Aspergillus	A0A3D8QMU0	AFDB	87.12
A0A401KJ13_Aspergillus	A0A401KJ13	AFDB	87.34
A0A420Y4N6_Coniochaeta	A0A420Y4N6	AFDB	86.93
A0A423X8J6_Cytospora	A0A423X8J6	AFDB	88.01
A0A4P6XHN0_Metschnikowia	A0A4P6XHN0	AFDB	90.17
A0A4Q4SNS4_Alternaria	A0A4Q4SNS4	AFDB	89.45
A0A4Q4SW76_Monosporascus	A0A4Q4SW76	AFDB	88.08
A0A4R8TC14_Colletotrichum	A0A4R8TC14	AFDB	87.68
A0A4T0X234_Pichia	A0A4T0X234	AFDB	88.66
A0A4Z1I1P6_Botryotinia	A0A4Z1I1P6	AFDB	86.54
A0A5E8BJL0_Magnusiomyces	A0A5E8BJL0	AFDB	90.15
A0A5M3Z9B9_Aspergillus	A0A5M3Z9B9	AFDB	87.42
A0A6H0XK98_Peltaster	A0A6H0XK98	AFDB	89.08
A0A7D8YNF5_Lachnellula	A0A7D8YNF5	AFDB	87.12
A0A8E5HVQ8_Ustilaginoidea	A0A8E5HVQ8	AFDB	87.71
A0A8H3WE31_Colletotrichum	A0A8H3WE31	AFDB	88.13
A0A8H5T131_Fusarium	A0A8H5T131	AFDB	87.65
A0A8J2T8D0_Zygosaccharomyces	A0A8J2T8D0	AFDB	88.63
A0A8J8WMJ2_Penicillium	A0A8J8WMJ2	AFDB	88.15
A0A8K0LFH0_Elsinoe	A0A8K0LFH0	AFDB	88.42
A0A8T9C083_Lachnellula	A0A8T9C083	AFDB	87.54
A0A9N9L4M2_Hymenoscyphus	A0A9N9L4M2	AFDB	87.45
A0A9P5AP51_Fusarium	A0A9P5AP51	AFDB	88.38
A0A9P5F6D8_Colletotrichum	A0A9P5F6D8	AFDB	88.02
A0A9P5IFU8_Botrytis	A0A9P5IFU8	AFDB	86.78
A0A9P7HAM0_Fusarium	A0A9P7HAM0	AFDB	87.9
A0A9P8NYE8_Ogataea	A0A9P8NYE8	AFDB	90.3
A0A9P8TS07_Trichoderma	A0A9P8TS07	AFDB	88.35
A0A9Q8LAV6_Fulvia	A0A9Q8LAV6	AFDB	87.8
A0A9Q8QLM5_Purpureocillium	A0A9Q8QLM5	AFDB	89.36
A0A9W9HYZ6_Penicillium	A0A9W9HYZ6	AFDB	87.71
A0A9W9RW94_Penicillium	A0A9W9RW94	AFDB	87.05
A0AAD9T215_Diplocarpon	A0AAD9T215	AFDB	86.38
A0AAI9SXC1_Candida	A0AAI9SXC1	AFDB	92.42
Q5AXT5_Aspergillus	Q5AXT5	AFDB	86.68
A0A010SLY8_Colletotrichum	A0A010SLY8	AFDB	88.22
A0A0A2KKZ8_Penicillium	A0A0A2KKZ8	AFDB	87.76
A0A0C7N9H1_Lachancea	A0A0C7N9H1	AFDB	89.28
A0A0D2AM31_Verruconis	A0A0D2AM31	AFDB	88.41
A0A0D2CU01_Cladophialophora	A0A0D2CU01	AFDB	89.95
A0A0F4GSW0_Zymoseptoria	A0A0F4GSW0	AFDB	88.33
A0A0F7TPW7_Penicillium	A0A0F7TPW7	AFDB	86.49
A0A0F8V674_Aspergillus	A0A0F8V674	AFDB	87.53
A0A0J9X617_Geotrichum	A0A0J9X617	AFDB	86.8
A0A0J9XD28_Geotrichum	A0A0J9XD28	AFDB	83.01
A0A0L1J6G6_Aspergillus	A0A0L1J6G6	AFDB	86.06
A0A0P1KUZ5_Lachancea	A0A0P1KUZ5	AFDB	88.44
A0A0U1LMZ8_Talaromyces	A0A0U1LMZ8	AFDB	87.16
A0A0U5FW00_Aspergillus	A0A0U5FW00	AFDB	87.43
A0A179UY81_Blastomyces	A0A179UY81	AFDB	88.64
A0A194VFA7_Cytospora	A0A194VFA7	AFDB	86.28
A0A1E1KHD1_Rhynchosporium	A0A1E1KHD1	AFDB	86.92
A0A1E5R2E4_Hanseniaspora	A0A1E5R2E4	AF2_ColabFold	88.29
A0A1E5RH49_Hanseniaspora	A0A1E5RH49	AF2_ColabFold	84.96
A0A1E5RYU5_Hanseniaspora	A0A1E5RYU5	AF2_ColabFold	90.08
A0A1G4JAR2_Lachancea	A0A1G4JAR2	AFDB	88.95
A0A1G4JJ13_Lachancea	A0A1G4JJ13	AFDB	89.03
A0A1G4KK60_Lachancea	A0A1G4KK60	AFDB	88.28
A0A1G4M6E1_Lachancea	A0A1G4M6E1	AFDB	88.35
A0A1J9QG29_Blastomyces	A0A1J9QG29	AFDB	88.73
A0A1L0D0Q5_Hanseniaspora	A0A1L0D0Q5	AFDB	90.62
A0A1L7VNC0_Fusarium	A0A1L7VNC0	AFDB	87.7
A0A1X7R554_Maudiozyma	A0A1X7R554	AFDB	86.89
A0A218YVE5_Diplocarpon	A0A218YVE5	AFDB	86.78
A0A232LWR6_Elaphomyces	A0A232LWR6	AFDB	86.76
A0A292Q3K7_Tuber	A0A292Q3K7	AFDB	83.16
A0A2B7WVK7_Helicocarpus	A0A2B7WVK7	AFDB	88.58
A0A2D3UXI5_Ramularia	A0A2D3UXI5	AF2_ColabFold	87.44
A0A2K1QRC5_Sphaceloma	A0A2K1QRC5	AFDB	88.73
A0A2S6CBW7_Cercospora	A0A2S6CBW7	AFDB	89.16
A0A2V1A9H7_Candidozyma	A0A2V1A9H7	AFDB	89.99
A0A2V1ALF0_Candidozyma	A0A2V1ALF0	AFDB	90.63
A0A2W1ERC3_Pyrenophora	A0A2W1ERC3	AFDB	88.65
A0A364L1Q7_Talaromyces	A0A364L1Q7	AFDB	88.71
A0A367L4D8_Ophiocordyceps	A0A367L4D8	AF2_ColabFold	84.0
A0A367YDY7_Candida	A0A367YDY7	AFDB	88.65
A0A384JQ16_Botrytis	A0A384JQ16	AFDB	87.27
A0A423WMC8_Cytospora	A0A423WMC8	AFDB	87.59
A0A448YGA8_Brettanomyces	A0A448YGA8	AFDB	90.21
A0A448YPH1_Brettanomyces	A0A448YPH1	AFDB	90.71
A0A4Y8D3B0_Botryotinia	A0A4Y8D3B0	AFDB	86.55
A0A4Z0Z973_Xylaria	A0A4Z0Z973	AFDB	87.38
A0A507AHL1_Thyridium	A0A507AHL1	AFDB	88.84
A0A5Q4C7C0_Colletotrichum	A0A5Q4C7C0	AFDB	87.55
A0A6A6V6U0_Sporormia	A0A6A6V6U0	AFDB	87.9
A0A6V8H3K1_Talaromyces	A0A6V8H3K1	AFDB	87.26
A0A7H8QY08_Talaromyces	A0A7H8QY08	AFDB	87.78
A0A8G0PM48_Trichoderma	A0A8G0PM48	AFDB	88.25
A0A8H2ZKI7_Maudiozyma	A0A8H2ZKI7	AFDB	89.09
A0A8H4ISW3_Botryosphaeria	A0A8H4ISW3	AFDB	87.98
A0A8H4KSP0_Fusarium	A0A8H4KSP0	AFDB	88.75
A0A8H4L6X0_Fusarium	A0A8H4L6X0	AFDB	87.83
A0A8H4XL08_Fusarium	A0A8H4XL08	AF2_ColabFold	81.48
A0A8H5VWV3_Fusarium	A0A8H5VWV3	AFDB	88.23
A0A8H5XTU0_Fusarium	A0A8H5XTU0	AFDB	88.72
A0A8H6U8X2_Colletotrichum	A0A8H6U8X2	AFDB	88.94
A0A8H6UTP6_Aspergillus	A0A8H6UTP6	AFDB	87.69
A0A8H6VE95_Pseudocercospora	A0A8H6VE95	AFDB	88.59
A0A9N8P9K6_Aureobasidium	A0A9N8P9K6	AFDB	86.3
A0A9N9LYP1_Hymenoscyphus	A0A9N9LYP1	AFDB	87.36
A0A9N9Y4Q8_Clonostachys	A0A9N9Y4Q8	AFDB	88.4
A0A9P0QRK9_Kurtzmaniella	A0A9P0QRK9	AFDB	85.87
A0A9P4YU51_Geosmithia	A0A9P4YU51	AFDB	88.44
A0A9P8M8W8_Metarhizium	A0A9P8M8W8	AFDB	87.55
A0A9P8SF62_Hirsutella	A0A9P8SF62	AFDB	88.47
A0A9P9XSS9_Colletotrichum	A0A9P9XSS9	AFDB	87.63
A0A9W7DE56_Ambrosiozyma	A0A9W7DE56	AFDB	89.3
A0A9W7SU85_Teratosphaeria	A0A9W7SU85	AFDB	88.37
A0A9W8N7W2_Xylaria	A0A9W8N7W2	AFDB	88.64
A0A9W9FVK9_Penicillium	A0A9W9FVK9	AFDB	88.05
A0A9W9KB48_Penicillium	A0A9W9KB48	AFDB	87.59
A0A9W9TVT2_Penicillium	A0A9W9TVT2	AFDB	87.25
A0A9W9WZB3_Penicillium	A0A9W9WZB3	AFDB	87.17
A0A9W9XDN3_Penicillium	A0A9W9XDN3	AFDB	81.03
A0AA35IR82_Saccharomyces	A0AA35IR82	AFDB	89.82
A0AAV9SU16_Colletotrichum	A0AAV9SU16	AFDB	88.08
A0AAV9UWD6_Orbilia	A0AAV9UWD6	AFDB	88.27
A0AB34KML8_Cladosporium	A0AB34KML8	AFDB	89.39
A0ABN8WKL1_Saccharomyces	A0ABN8WKL1	AF2_ColabFold	86.03
A0ABQ8N742_Pyricularia	A0ABQ8N742	AF2_ColabFold	86.45
A0ABQ8WGQ7_Penicillium	A0ABQ8WGQ7	AF2_ColabFold	87.34
A0ABR2V6U6_Seiridium	A0ABR2V6U6	AF2_ColabFold	87.64
A0ABY6SM04_Podospora	A0ABY6SM04	AF2_ColabFold	87.24
B3LLJ4_Saccharomyces	B3LLJ4	AFDB	89.82
B6Q6C2_Talaromyces	B6Q6C2	AFDB	86.34
C5DFL7_Lachancea	C5DFL7	AFDB	88.18
C5DM92_Lachancea	C5DM92	AFDB	88.71
C5MAG5_Candida	C5MAG5	AFDB	88.49
E4V3W1_Nannizzia	E4V3W1	AFDB	87.15
E9ETX6_Metarhizium	E9ETX6	AFDB	86.82
G4N540_Pyricularia	G4N540	AFDB	87.66
J5JW44_Beauveria	J5JW44	AFDB	87.65
M1WCW3_Claviceps	M1WCW3	AFDB	88.56
Q6CEU3_Yarrowia	Q6CEU3	AFDB	85.04
W9CKN3_Sclerotinia	W9CKN3	AFDB	87.12
A0A022Y865_Trichophyton	A0A022Y865	AFDB	84.51
A0A0A1TS53_tx1531966	A0A0A1TS53	AFDB	88.38
A0A0D2H657_Fonsecaea	A0A0D2H657	AFDB	90.18
A0A0H1B6P3_Blastomyces	A0A0H1B6P3	AFDB	87.98
A0A0L0NDI1_Tolypocladium	A0A0L0NDI1	AFDB	88.22
A0A0M8P8W8_Penicillium	A0A0M8P8W8	AFDB	88.14
A0A0P1KKU7_Lachancea	A0A0P1KKU7	AFDB	88.8
A0A135TU94_Colletotrichum	A0A135TU94	AFDB	88.5
A0A168CGZ8_Cordyceps	A0A168CGZ8	AFDB	86.59
A0A168ISU5_Akanthomyces	A0A168ISU5	AFDB	88.19
A0A177FGZ4_Fonsecaea	A0A177FGZ4	AFDB	89.3
A0A1B8AKF1_Fusarium	A0A1B8AKF1	AFDB	87.29
A0A1E1KSW3_Rhynchosporium	A0A1E1KSW3	AFDB	86.91
A0A1W2TKN4_Rosellinia	A0A1W2TKN4	AFDB	89.34
A0A1Z5T4Y1_Hortaea	A0A1Z5T4Y1	AFDB	87.93
A0A2B7X4F7_Blastomyces	A0A2B7X4F7	AFDB	88.43
A0A2H0ZLB1_Candidozyma	A0A2H0ZLB1	AFDB	88.46
A0A2H2ZNG2_Trichoderma	A0A2H2ZNG2	AFDB	89.15
A0A2N3NCB3_Lomentospora	A0A2N3NCB3	AF2_ColabFold	77.74
A0A2P7Z3W1_Elsinoe	A0A2P7Z3W1	AFDB	88.88
A0A366QY50_Fusarium	A0A366QY50	AFDB	88.35
A0A376BA80_Saccharomycodes	A0A376BA80	AFDB	90.41
A0A395SEG8_Fusarium	A0A395SEG8	AFDB	87.45
A0A3A2ZL16_Aspergillus	A0A3A2ZL16	AFDB	86.79
A0A3D8SQV1_Coleophoma	A0A3D8SQV1	AFDB	87.66
A0A420HWK8_Erysiphe	A0A420HWK8	AFDB	87.9
A0A484FKH5_Colletotrichum	A0A484FKH5	AFDB	87.24
A0A4Q4P3R5_Alternaria	A0A4Q4P3R5	AFDB	88.66
A0A4Z1FQZ2_Botrytis	A0A4Z1FQZ2	AFDB	87.62
A0A4Z1H1E5_Botrytis	A0A4Z1H1E5	AFDB	87.83
A0A4Z1I5K8_Botryotinia	A0A4Z1I5K8	AFDB	87.32
A0A4Z1JM45_Botrytis	A0A4Z1JM45	AFDB	87.25
A0A4Z1NVH7_Venturia	A0A4Z1NVH7	AFDB	86.98
A0A5E8B6K8_Magnusiomyces	A0A5E8B6K8	AFDB	88.85
A0A5N6K1H9_Monilinia	A0A5N6K1H9	AFDB	87.11
A0A642UJS9_Trichomonascus	A0A642UJS9	AFDB	84.51
A0A7C8MWI0_Xylaria	A0A7C8MWI0	AFDB	89.61
A0A7G3ZIW5_Torulaspora	A0A7G3ZIW5	AFDB	86.11
A0A7U2QU03_Aspergillus	A0A7U2QU03	AFDB	88.3
A0A8H2ZM85_Sclerotinia	A0A8H2ZM85	AFDB	87.25
A0A8H4Q9J7_Ophiocordyceps	A0A8H4Q9J7	AFDB	88.67
A0A8H4T2Y1_Fusarium	A0A8H4T2Y1	AFDB	87.09
A0A8H4YPP2_Fusarium	A0A8H4YPP2	AFDB	88.29
A0A8H5J614_Fusarium	A0A8H5J614	AFDB	87.81
A0A8H5UR89_Fusarium	A0A8H5UR89	AFDB	86.95
A0A8H6KXX6_Colletotrichum	A0A8H6KXX6	AFDB	88.45
A0A8H8RV52_Lachnellula	A0A8H8RV52	AFDB	88.53
A0A8J2TAJ9_Zygosaccharomyces	A0A8J2TAJ9	AFDB	88.3
A0A8T9B5J8_Lachnellula	A0A8T9B5J8	AFDB	87.22
A0A9P0QU44_Kurtzmaniella	A0A9P0QU44	AFDB	89.31
A0A9P3CP80_Cercospora	A0A9P3CP80	AFDB	89.4
A0A9P6VJM9_Hyphodiscus	A0A9P6VJM9	AFDB	86.33
A0A9P8Q4R9_Wickerhamomyces	A0A9P8Q4R9	AFDB	90.22
A0A9Q8SIE6_Colletotrichum	A0A9Q8SIE6	AFDB	88.23
A0A9Q9EGB7_Septoria	A0A9Q9EGB7	AFDB	88.58
A0A9W4UE87_Periconia	A0A9W4UE87	AFDB	89.54
A0AA35J0E4_Saccharomyces	A0AA35J0E4	AFDB	88.0
A0AAD4IFY3_Alternaria	A0AAD4IFY3	AFDB	87.97
A0AAD5BBM1_Candida	A0AAD5BBM1	AFDB	87.5
A0AAD6GIB4_Penicillium	A0AAD6GIB4	AFDB	82.78
A0AAD9AKZ3_Colletotrichum	A0AAD9AKZ3	AFDB	88.04
A0AAD9Y213_Colletotrichum	A0AAD9Y213	AFDB	88.29
A0AAE9W8S9_Schizosaccharomyces	A0AAE9W8S9	AFDB	88.26
A0AAI9TIH2_Penicillium	A0AAI9TIH2	AFDB	87.55
A0AAV5QDJ4_Saccharomycopsis	A0AAV5QDJ4	AFDB	88.83
A0AAV5QKF6_Saccharomycopsis	A0AAV5QKF6	AFDB	88.73
A0AAX4HF17_Australozyma	A0AAX4HF17	AFDB	88.19
A0AB34G0U3_Purpureocillium	A0AB34G0U3	AF2_ColabFold	84.53
A0ABP2EZZ6_Blastomyces	A0ABP2EZZ6	AF2_ColabFold	86.98
A0ABQ7RSC4_Ogataea	A0ABQ7RSC4	AF2_ColabFold	87.35
A0ABQ9SFB4_Colletotrichum	A0ABQ9SFB4	AF2_ColabFold	85.93
A0ABR0HK82_Podospora	A0ABR0HK82	AF2_ColabFold	87.88
A0ABR0TKY5_Aureobasidium	A0ABR0TKY5	AF2_ColabFold	87.63
A0ABR1PTT1_Apiospora	A0ABR1PTT1	AF2_ColabFold	86.54
A0ABR1RLE4_Apiospora	A0ABR1RLE4	AF2_ColabFold	86.77
A0ABR1VZW9_Apiospora	A0ABR1VZW9	AF2_ColabFold	88.6
A0ABR3DMS4_Neurospora	A0ABR3DMS4	AF2_ColabFold	83.34
A0ABR3Y3X8_Phialemonium	A0ABR3Y3X8	AF2_ColabFold	86.07
A0ABR4P0R8_Nakaseomyces	A0ABR4P0R8	AF2_ColabFold	85.67
A0ABX6EXJ8_Kluyveromyces	A0ABX6EXJ8	AF2_ColabFold	87.6
A0ABX6F0Q7_Kluyveromyces	A0ABX6F0Q7	AF2_ColabFold	88.1
A0ABX8I2X5_Candidozyma	A0ABX8I2X5	AF2_ColabFold	72.81
A0ABX8I4W3_Candidozyma	A0ABX8I4W3	AF2_ColabFold	87.3
A2R3M6_Aspergillus	A2R3M6	AFDB	88.32
C4JUZ0_Uncinocarpus	C4JUZ0	AF2_ColabFold	66.39
D4B4E8_Trichophyton	D4B4E8	AFDB	85.89
D4DAK6_Trichophyton	D4DAK6	AFDB	85.26
F2PR25_Trichophyton	F2PR25	AFDB	86.36
F2S1K4_Trichophyton	F2S1K4	AFDB	86.76
G0S6L7_Thermochaetoides	G0S6L7	AFDB	87.94
G1WZ06_Orbilia	G1WZ06	AFDB	88.44
I2H165_Henningerozyma	I2H165	AFDB	85.8
K0KM86_Wickerhamomyces	K0KM86	AFDB	89.81
K3UQF6_Fusarium	K3UQF6	AFDB	87.59
N1RU73_Fusarium	N1RU73	AFDB	88.51
R4XBB5_Taphrina	R4XBB5	AFDB	88.67
S7ZUF7_Penicillium	S7ZUF7	AFDB	87.55
U1GI40_Endocarpon	U1GI40	AFDB	88.53
W6MM08_Kuraishia	W6MM08	AFDB	90.48
W7HWQ6_Drechslerella	W7HWQ6	AFDB	87.24
A0A086SVX6_Hapsidospora	A0A086SVX6	AFDB	88.87
A0A090CWN8_Podospora	A0A090CWN8	AFDB	89.69
A0A0A2KQC3_Penicillium	A0A0A2KQC3	AFDB	87.61
A0A0D9NSG7_Metarhizium	A0A0D9NSG7	AFDB	87.57
A0A0F4YPA8_Rasamsonia	A0A0F4YPA8	AFDB	86.5
A0A0F4ZHF8_Thielaviopsis	A0A0F4ZHF8	AFDB	89.38
A0A0G4KXU7_Verticillium	A0A0G4KXU7	AFDB	87.84
A0A0M9VTS8_Escovopsis	A0A0M9VTS8	AFDB	87.44
A0A0N0DEY4_Fusarium	A0A0N0DEY4	AFDB	89.06
A0A0P7BBB4_Neonectria	A0A0P7BBB4	AFDB	88.73
A0A135LFH1_Penicillium	A0A135LFH1	AFDB	87.91
A0A139HGG1_Pseudocercospora	A0A139HGG1	AFDB	88.29
A0A139IDY3_Pseudocercospora	A0A139IDY3	AFDB	88.32
A0A151GWK7_Drechmeria	A0A151GWK7	AFDB	88.11
A0A166NVT2_Colletotrichum	A0A166NVT2	AFDB	88.98
A0A166U4T1_Moelleriella	A0A166U4T1	AF2_ColabFold	85.17
A0A168C8M9_Ascosphaera	A0A168C8M9	AFDB	87.58
A0A1C1C9U7_Cladophialophora	A0A1C1C9U7	AFDB	90.56
A0A1E5R8N0_Hanseniaspora	A0A1E5R8N0	AFDB	90.38
A0A1G4KDP5_Lachancea	A0A1G4KDP5	AFDB	89.42
A0A1G4KMC5_Lachancea	A0A1G4KMC5	AFDB	89.26
A0A1J9QQT4_Diplodia	A0A1J9QQT4	AFDB	86.04
A0A1J9S2U9_Diplodia	A0A1J9S2U9	AFDB	89.03
A0A1L0BTK2_Sungouiella	A0A1L0BTK2	AFDB	90.09
A0A1Q2YI20_Pichia	A0A1Q2YI20	AFDB	88.81
A0A1Q8RAQ6_Colletotrichum	A0A1Q8RAQ6	AFDB	88.78
A0A1T3CVP8_Trichoderma	A0A1T3CVP8	AFDB	88.01
A0A1V6QBT2_Penicillium	A0A1V6QBT2	AFDB	87.73
A0A1V6RMZ5_Penicillium	A0A1V6RMZ5	AFDB	87.51
A0A1V6RZK0_Penicillium	A0A1V6RZK0	AFDB	88.07
A0A1V6V0V5_Penicillium	A0A1V6V0V5	AFDB	86.32
A0A1V6Z3Y5_Penicillium	A0A1V6Z3Y5	AFDB	87.77
A0A1X7RKD9_Zymoseptoria	A0A1X7RKD9	AFDB	87.96
A0A1Y2M700_Epicoccum	A0A1Y2M700	AFDB	88.01
A0A2C5XF89_Ophiocordyceps	A0A2C5XF89	AFDB	88.09
A0A2K0WHU4_Fusarium	A0A2K0WHU4	AFDB	88.44
A0A2K3Q965_Tolypocladium	A0A2K3Q965	AF2_ColabFold	83.32
A0A2P6FGS0_Pseudogymnoascus	A0A2P6FGS0	AFDB	87.91
A0A2T4GQX9_Fusarium	A0A2T4GQX9	AFDB	88.44
A0A2U3EBL3_Purpureocillium	A0A2U3EBL3	AFDB	88.13
A0A2V1AQV1_Candidozyma	A0A2V1AQV1	AFDB	85.37
A0A367YAA9_Candida	A0A367YAA9	AFDB	89.06
A0A367YJV1_Candida	A0A367YJV1	AFDB	87.48
A0A367YKM2_Candida	A0A367YKM2	AFDB	89.07
A0A395NCI1_Trichoderma	A0A395NCI1	AFDB	87.54
A0A423XFI1_Cytospora	A0A423XFI1	AFDB	87.93
A0A423XK23_Cytospora	A0A423XK23	AFDB	89.16
A0A9W8UIP0_Akanthomyces	A0A9W8UIP0	AFDB	88.5
A0A9W9RAK9_Penicillium	A0A9W9RAK9	AFDB	87.11
A0A9W9XR84_Penicillium	A0A9W9XR84	AFDB	87.25
A0AA35NL61_Saccharomyces	A0AA35NL61	AFDB	88.53
A0AA38VV67_Coniochaeta	A0AA38VV67	AFDB	87.54
A0AA39L6U6_Sarocladium	A0AA39L6U6	AFDB	87.58
A0AAD5RWL4_Zalerion	A0AAD5RWL4	AFDB	87.46
A0AAD6H8K2_Penicillium	A0AAD6H8K2	AFDB	87.11
A0AAD6MU90_Penicillium	A0AAD6MU90	AFDB	87.1
A0AAD9I3P7_Phyllachora	A0AAD9I3P7	AFDB	89.29
A0AAE8SVQ8_Cephalotrichum	A0AAE8SVQ8	AFDB	89.15
A0AAI8YJ59_Anthostomella	A0AAI8YJ59	AFDB	87.8
A0AAI9XWQ1_Colletotrichum	A0AAI9XWQ1	AFDB	88.11
A0AAQ3M7G8_Acrodontium	A0AAQ3M7G8	AFDB	88.03
A0AAV5R7D5_Pichia	A0AAV5R7D5	AFDB	89.46
A0AAV9X1R8_Orbilia	A0AAV9X1R8	AFDB	88.52
A0AAX4HXM9_Colletotrichum	A0AAX4HXM9	AFDB	88.38
A0ABN8VSG3_Saccharomyces	A0ABN8VSG3	AF2_ColabFold	86.52
A0ABP0EFL8_Kurtzmaniella	A0ABP0EFL8	AF2_ColabFold	84.95
A0ABQ7IPQ8_Botrytis	A0ABQ7IPQ8	AF2_ColabFold	85.16
A0ABQ9RPP9_Colletotrichum	A0ABQ9RPP9	AF2_ColabFold	87.84
A0ABR0F5M0_Podospora	A0ABR0F5M0	AF2_ColabFold	88.32
A0ABR0G3Y6_Podospora	A0ABR0G3Y6	AF2_ColabFold	88.4
A0ABR0SAG8_Cladobotryum	A0ABR0SAG8	AF2_ColabFold	85.86
A0ABR1RWV5_Apiospora	A0ABR1RWV5	AF2_ColabFold	86.4
A0ABR3P4W3_Neodothiora	A0ABR3P4W3	AF2_ColabFold	86.81
A0ABR4D136_Oculimacula	A0ABR4D136	AF2_ColabFold	84.59
A0ABR4F3V5_Diaporthe	A0ABR4F3V5	AF2_ColabFold	89.72
A0ABR4MDG3_Ceratocystis	A0ABR4MDG3	AF2_ColabFold	88.08
A0ABR4NXG5_Nakaseomyces	A0ABR4NXG5	AF2_ColabFold	86.69
A0ABY0HA38_Monosporascus	A0ABY0HA38	AF2_ColabFold	86.39
