accession,gene,organism,taxid,subphylum,class,order,family,genus,length,reviewed,structure_source,afdb_version,mean_plddt,is_reference_proteome,structure_path,paralog_label
I2H566,TBLA0E04660,Henningerozyma blattae (strain ATCC 34711 / CBS 6284 / DSM 70876 / NBRC 10599 / NRRL Y-10934 / UCD 77-7) (Yeast) (Tetrapisispora blattae),1071380,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Henningerozyma,854,unreviewed,AFDB,6,63.31,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-I2H566-F1-model_v6.cif,
W6MNR6,PIF1,Kuraishia capsulata CBS 1993,1382522,Saccharomycotina,Pichiomycetes,Pichiales,Pichiaceae,Kuraishia,765,unreviewed,AFDB,6,65.62,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-W6MNR6-F1-model_v6.cif,
G0WAI2,NDAI0D04800,Naumovozyma dairenensis (strain ATCC 10597 / BCRC 20456 / CBS 421 / NBRC 0211 / NRRL Y-12639) (Saccharomyces dairenensis),1071378,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Naumovozyma,854,unreviewed,AFDB,6,63.06,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-G0WAI2-F1-model_v6.cif,
G8ZST6,TDEL0D00960,Torulaspora delbrueckii (Yeast) (Candida colliculosa),4950,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Torulaspora,949,unreviewed,AFDB,6,59.78,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-G8ZST6-F1-model_v6.cif,
Q6FKI9,PIF1,Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus),284593,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,841,unreviewed,AFDB,6,65.25,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-Q6FKI9-F1-model_v6.cif,
S9X0K1,PIF1,Schizosaccharomyces cryophilus (strain OY26 / ATCC MYA-4695 / CBS 11777 / NBRC 106824 / NRRL Y48691) (Fission yeast),653667,Taphrinomycotina,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetaceae,Schizosaccharomyces,788,unreviewed,AFDB,6,62.66,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-S9X0K1-F1-model_v6.cif,
A0A0C7N4Y2,PIF1,Lachancea lanzarotensis,1245769,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Lachancea,864,unreviewed,AFDB,6,63.97,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A0C7N4Y2-F1-model_v6.cif,
A0A0W4ZHZ4,PIF1,Pneumocystis carinii (strain B80) (Rat pneumocystis pneumonia agent) (Pneumocystis carinii f. sp. carinii),1408658,Taphrinomycotina,Pneumocystomycetes,Pneumocystales,Pneumocystaceae,Pneumocystis,787,unreviewed,AFDB,6,62.94,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A0W4ZHZ4-F1-model_v6.cif,
A0A1G4K4H6,PIF1,Lachancea dasiensis,1072105,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Lachancea,886,unreviewed,AFDB,6,62.88,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A1G4K4H6-F1-model_v6.cif,
Q6BQK7,PIF1,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii),284592,Saccharomycotina,Pichiomycetes,Serinales,Debaryomycetaceae,Debaryomyces,832,unreviewed,AFDB,6,63.5,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-Q6BQK7-F1-model_v6.cif,
S9PVT1,PIF1,Schizosaccharomyces octosporus (strain yFS286) (Fission yeast) (Octosporomyces octosporus),483514,Taphrinomycotina,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetaceae,Schizosaccharomyces,788,unreviewed,AFDB,6,62.09,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-S9PVT1-F1-model_v6.cif,
W1QEW7,PIF1,Ogataea parapolymorpha (strain ATCC 26012 / BCRC 20466 / JCM 22074 / NRRL Y-7560 / DL-1) (Yeast) (Hansenula polymorpha),871575,Saccharomycotina,Pichiomycetes,Pichiales,Pichiaceae,Ogataea,826,unreviewed,AFDB,6,66.25,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-W1QEW7-F1-model_v6.cif,
A0A0W4ZNJ0,PIF1,Pneumocystis jirovecii (strain RU7) (Human pneumocystis pneumonia agent),1408657,Taphrinomycotina,Pneumocystomycetes,Pneumocystales,Pneumocystaceae,Pneumocystis,811,unreviewed,AFDB,6,60.44,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A0W4ZNJ0-F1-model_v6.cif,
A5DHA1,PIF1,Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324) (Yeast) (Candida guilliermondii),294746,Saccharomycotina,Pichiomycetes,Serinales,Debaryomycetaceae,Meyerozyma,722,unreviewed,AFDB,6,68.31,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A5DHA1-F1-model_v6.cif,
B6K513,pfh1,Schizosaccharomyces japonicus (strain yFS275 / FY16936) (Fission yeast),402676,Taphrinomycotina,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetaceae,Schizosaccharomyces,807,unreviewed,AFDB,6,62.41,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-B6K513-F1-model_v6.cif,
G8JMQ5,PIF1,Eremothecium cymbalariae (strain CBS 270.75 / DBVPG 7215 / KCTC 17166 / NRRL Y-17582) (Yeast),931890,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Eremothecium,884,unreviewed,AFDB,6,61.28,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-G8JMQ5-F1-model_v6.cif,
H2AZM3,KAFR0I00420,Kazachstania africana (strain ATCC 22294 / BCRC 22015 / CBS 2517 / CECT 1963 / NBRC 1671 / NRRL Y-8276) (Yeast) (Kluyveromyces africanus),1071382,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,823,unreviewed,AFDB,6,64.0,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-H2AZM3-F1-model_v6.cif,
J7S6X7,KNAG0E03960,Huiozyma naganishii (strain ATCC MYA-139 / BCRC 22969 / CBS 8797 / KCTC 17520 / NBRC 10181 / NCYC 3082 / Yp74L-3) (Yeast) (Kazachstania naganishii),1071383,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Huiozyma,853,unreviewed,AFDB,6,62.81,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-J7S6X7-F1-model_v6.cif,
M7P7M8,PIF1,Pneumocystis murina (strain B123) (Mouse pneumocystis pneumonia agent) (Pneumocystis carinii f. sp. muris),1069680,Taphrinomycotina,Pneumocystomycetes,Pneumocystales,Pneumocystaceae,Pneumocystis,801,unreviewed,AFDB,6,62.56,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-M7P7M8-F1-model_v6.cif,
A0A066XBE3,PIF1,Colletotrichum sublineola (Sorghum anthracnose fungus),1173701,Pezizomycotina,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,844,unreviewed,AFDB,6,62.12,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A066XBE3-F1-model_v6.cif,
A0A098E1Q1,PIF1,Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum),229533,Pezizomycotina,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,872,unreviewed,AFDB,6,59.94,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A098E1Q1-F1-model_v6.cif,
A0A0A8L254,PIF1,Kluyveromyces dobzhanskii CBS 2104,1427455,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,823,unreviewed,AFDB,6,63.94,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A0A8L254-F1-model_v6.cif,
A0A0A8L495,RRM3,Kluyveromyces dobzhanskii CBS 2104,1427455,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,711,unreviewed,AFDB,6,67.19,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A0A8L495-F1-model_v6.cif,
A0A0D2HCP1,PIF1,Cladophialophora bantiana (strain ATCC 10958 / CBS 173.52 / CDC B-1940 / NIH 8579) (Xylohypha bantiana),1442370,Pezizomycotina,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,771,unreviewed,AFDB,6,66.0,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A0D2HCP1-F1-model_v6.cif,
A0A0D2IYR0,PIF1,Rhinocladiella mackenziei CBS 650.93,1442369,Pezizomycotina,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Rhinocladiella,766,unreviewed,AFDB,6,65.69,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A0D2IYR0-F1-model_v6.cif,
A0A0E9NJD1,PIF1,Saitoella complicata (strain BCRC 22490 / CBS 7301 / JCM 7358 / NBRC 10748 / NRRL Y-17804),698492,Taphrinomycotina,,,,Saitoella,951,unreviewed,AFDB,6,59.91,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A0E9NJD1-F1-model_v6.cif,
A0A0F8UK25,PIF1,Aspergillus ochraceoroseus,138278,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,753,unreviewed,AFDB,6,66.06,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A0F8UK25-F1-model_v6.cif,
A0A0G2G6N1,PIF1,Phaeomoniella chlamydospora (Phaeoacremonium chlamydosporum),158046,Pezizomycotina,Eurotiomycetes,Phaeomoniellales,Phaeomoniellaceae,Phaeomoniella,754,unreviewed,AFDB,6,65.38,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A0G2G6N1-F1-model_v6.cif,
A0A0G4N7A9,PIF1,Verticillium longisporum (Verticillium dahliae var. longisporum),100787,Pezizomycotina,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Verticillium,876,unreviewed,AFDB,6,60.91,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A0G4N7A9-F1-model_v6.cif,
A0A0G4PIW6,PIF1,Penicillium camemberti (strain FM 013),1429867,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,761,unreviewed,AFDB,6,64.5,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A0G4PIW6-F1-model_v6.cif,
A0A0X8HVB8,PIF1,Eremothecium sinecaudum,45286,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Eremothecium,834,unreviewed,AFDB,6,64.56,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A0X8HVB8-F1-model_v6.cif,
A0A135UEW1,PIF1,Colletotrichum salicis,1209931,Pezizomycotina,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,835,unreviewed,AFDB,6,62.62,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A135UEW1-F1-model_v6.cif,
A0A162ZNR2,pif1,Didymella rabiei (Chickpea ascochyta blight fungus) (Mycosphaerella rabiei),5454,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,802,unreviewed,AFDB,6,63.91,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A162ZNR2-F1-model_v6.cif,
A0A166QWJ6,PIF1,Colletotrichum incanum (Soybean anthracnose fungus),1573173,Pezizomycotina,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,889,unreviewed,AFDB,6,60.5,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A166QWJ6-F1-model_v6.cif,
A0A167DT29,RRM3,Sugiyamaella lignohabitans,796027,Saccharomycotina,Dipodascomycetes,Dipodascales,Trichomonascaceae,Sugiyamaella,706,unreviewed,AFDB,6,68.88,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A167DT29-F1-model_v6.cif,
A0A178CX55,PIF1,Fonsecaea nubica,856822,Pezizomycotina,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Fonsecaea,764,unreviewed,AFDB,6,66.25,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A178CX55-F1-model_v6.cif,
A0A178FD44,PIF1,Trichophyton violaceum,34388,Pezizomycotina,Eurotiomycetes,Onygenales,Arthrodermataceae,Trichophyton,760,unreviewed,AFDB,6,65.12,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A178FD44-F1-model_v6.cif,
A0A1B2JBB9,PIF1,Komagataella pastoris (Yeast) (Pichia pastoris),4922,Saccharomycotina,Pichiomycetes,Pichiales,Pichiaceae,Komagataella,820,unreviewed,AFDB,6,64.38,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A1B2JBB9-F1-model_v6.cif,
A0A1E3B484,PIF1,Aspergillus cristatus (Chinese Fuzhuan brick tea-fermentation fungus) (Eurotium cristatum),573508,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,720,unreviewed,AFDB,6,67.31,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A1E3B484-F1-model_v6.cif,
A0A1F8AAX5,PIF1,Aspergillus bombycis,109264,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,736,unreviewed,AFDB,6,65.88,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A1F8AAX5-F1-model_v6.cif,
A0A1G4B3T3,PIF1,Colletotrichum orchidophilum,1209926,Pezizomycotina,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,882,unreviewed,AFDB,6,61.09,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A1G4B3T3-F1-model_v6.cif,
A0A1G4J9Z3,RRM3,Lachancea mirantina,1230905,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Lachancea,696,unreviewed,AFDB,6,70.94,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A1G4J9Z3-F1-model_v6.cif,
A0A1G4M6R4,RRM3,Lachancea fermentati (Zygosaccharomyces fermentati),4955,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Lachancea,701,unreviewed,AFDB,6,70.38,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A1G4M6R4-F1-model_v6.cif,
A0A1J9QLP1,PIF1,Diplodia corticola,236234,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Diplodia,623,unreviewed,AFDB,6,68.88,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A1J9QLP1-F1-model_v6.cif,
A0A1L7WWW9,PIF1,Phialocephala subalpina,576137,Pezizomycotina,Leotiomycetes,Helotiales,Mollisiaceae,Phialocephala,917,unreviewed,AFDB,6,60.25,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A1L7WWW9-F1-model_v6.cif,
A0A1V6U152,PIF1,Penicillium steckii,303698,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,771,unreviewed,AFDB,6,63.84,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A1V6U152-F1-model_v6.cif,
A0A1W5D893,PIF1,Lasallia pustulata,136370,Pezizomycotina,Lecanoromycetes,Umbilicariales,Umbilicariaceae,Lasallia,865,unreviewed,AFDB,6,61.75,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A1W5D893-F1-model_v6.cif,
A0A2A9PT09,PIF1,Ophiocordyceps unilateralis (Zombie-ant fungus) (Torrubia unilateralis),268505,Pezizomycotina,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Ophiocordyceps,855,unreviewed,AFDB,6,59.91,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A2A9PT09-F1-model_v6.cif,
A0A2C5WV42,pif1,Ceratocystis fimbriata CBS 114723,1035309,Pezizomycotina,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,804,unreviewed,AFDB,6,63.0,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A2C5WV42-F1-model_v6.cif,
A0A2C5Z163,PIF1,Ophiocordyceps camponoti-rufipedis,2004952,Pezizomycotina,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Ophiocordyceps,791,unreviewed,AFDB,6,62.38,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A2C5Z163-F1-model_v6.cif,
A0A2G7FQB8,PIF1,Aspergillus arachidicola,656916,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,736,unreviewed,AFDB,6,66.88,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A2G7FQB8-F1-model_v6.cif,
A0A2S4L8F3,PIF1,Tolypocladium paradoxum,94208,Pezizomycotina,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Tolypocladium,820,unreviewed,AFDB,6,62.19,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A2S4L8F3-F1-model_v6.cif,
A0A2S4Q1N6,PIF1,Erysiphe pulchra,225359,Pezizomycotina,Leotiomycetes,Erysiphales,Erysiphaceae,Erysiphe,868,unreviewed,AFDB,6,60.31,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A2S4Q1N6-F1-model_v6.cif,
A0A2T0FEC6,PIF1,Wickerhamiella sorbophila,45607,Saccharomycotina,Dipodascomycetes,Dipodascales,Trichomonascaceae,Wickerhamiella,589,unreviewed,AFDB,6,76.88,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A2T0FEC6-F1-model_v6.cif,
A0A2U9RAS2,PIF1,Pichia kudriavzevii (Yeast) (Issatchenkia orientalis),4909,Saccharomycotina,Pichiomycetes,Pichiales,Pichiaceae,Pichia,676,unreviewed,AFDB,6,71.56,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A2U9RAS2-F1-model_v6.cif,
A0A370TV91,PIF1,Venustampulla echinocandica,2656787,Pezizomycotina,Leotiomycetes,Helotiales,Pleuroascaceae,Venustampulla,872,unreviewed,AFDB,6,61.34,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A370TV91-F1-model_v6.cif,
A0A3D8QMU0,PIF1,Aspergillus mulundensis,1810919,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,750,unreviewed,AFDB,6,66.31,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A3D8QMU0-F1-model_v6.cif,
A0A401KJ13,PIF1,Aspergillus awamori (Black koji mold),105351,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,754,unreviewed,AFDB,6,66.0,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A401KJ13-F1-model_v6.cif,
A0A420Y4N6,PIF1,Coniochaeta pulveracea,177199,Pezizomycotina,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,869,unreviewed,AFDB,6,59.72,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A420Y4N6-F1-model_v6.cif,
A0A423X8J6,PIF1,Cytospora schulzeri,448051,Pezizomycotina,Sordariomycetes,Diaporthales,Cytosporaceae,Cytospora,755,unreviewed,AFDB,6,63.97,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A423X8J6-F1-model_v6.cif,
A0A4P6XHN0,MPUL0A14290,Metschnikowia aff. pulcherrima,2163413,Saccharomycotina,Pichiomycetes,Serinales,Metschnikowiaceae,Metschnikowia,686,unreviewed,AFDB,6,71.75,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A4P6XHN0-F1-model_v6.cif,
A0A4Q4SNS4,PIF1,Alternaria arborescens,156630,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,782,unreviewed,AFDB,6,64.94,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A4Q4SNS4-F1-model_v6.cif,
A0A4Q4SW76,PIF1,Monosporascus ibericus,155417,Pezizomycotina,Sordariomycetes,Xylariales,,Monosporascus,810,unreviewed,AFDB,6,63.25,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A4Q4SW76-F1-model_v6.cif,
A0A4R8TC14,pif1,Colletotrichum sidae,1347389,Pezizomycotina,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,840,unreviewed,AFDB,6,62.5,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A4R8TC14-F1-model_v6.cif,
A0A4T0X234,PIF1,Pichia inconspicua,52247,Saccharomycotina,Pichiomycetes,Pichiales,Pichiaceae,Pichia,670,unreviewed,AFDB,6,71.75,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A4T0X234-F1-model_v6.cif,
A0A4Z1I1P6,PIF1,Botryotinia narcissicola,278944,Pezizomycotina,Leotiomycetes,Helotiales,Sclerotiniaceae,Botryotinia,910,unreviewed,AFDB,6,61.09,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A4Z1I1P6-F1-model_v6.cif,
A0A5E8BJL0,PIF1,Magnusiomyces paraingens,2606893,Saccharomycotina,Dipodascomycetes,Dipodascales,Dipodascaceae,Magnusiomyces,755,unreviewed,AFDB,6,71.12,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A5E8BJL0-F1-model_v6.cif,
A0A5M3Z9B9,PIF1,Aspergillus terreus,33178,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,753,unreviewed,AFDB,6,65.5,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A5M3Z9B9-F1-model_v6.cif,
A0A6H0XK98,PIF1,Peltaster fructicola,286661,Pezizomycotina,Dothideomycetes,,,Peltaster,803,unreviewed,AFDB,6,63.09,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A6H0XK98-F1-model_v6.cif,
A0A7D8YNF5,pif1_0,Lachnellula cervina,1316786,Pezizomycotina,Leotiomycetes,Helotiales,Lachnaceae,Lachnellula,920,unreviewed,AFDB,6,60.34,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A7D8YNF5-F1-model_v6.cif,
A0A8E5HVQ8,PIF1,Ustilaginoidea virens (Rice false smut fungus) (Villosiclava virens),1159556,Pezizomycotina,Sordariomycetes,Hypocreales,Clavicipitaceae,Ustilaginoidea,858,unreviewed,AFDB,6,60.16,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A8E5HVQ8-F1-model_v6.cif,
